postcode,provider_count_at_postcode,unique_kvk_holders,lrk_id,type_oko,kvk_nummer,inschrijfdatum,woonplaats,aantal_kindplaatsen
3344PK,9,3,116989737,BSO,41120692,01-08-2017,Hendrik-Ido-Ambacht,60
3344PK,9,3,133101678,KDV,41120692,01-05-2013,Hendrik-Ido-Ambacht,80
3344PK,9,3,136124355,BSO,41120692,01-01-2010,Hendrik-Ido-Ambacht,120
3344PK,9,3,155997075,KDV,41120692,01-01-2010,Hendrik-Ido-Ambacht,158
3344PK,9,3,275618031,KDV,41119006,19-12-2016,Hendrik-Ido-Ambacht,16
3344PK,9,3,288857549,KDV,24406671,12-12-2017,Hendrik-Ido-Ambacht,16
3344PK,9,3,309905175,BSO,24406671,09-08-2018,Hendrik-Ido-Ambacht,44
3344PK,9,3,776329170,BSO,41120692,01-05-2013,Hendrik-Ido-Ambacht,97
3344PK,9,3,891700869,BSO,41119006,01-02-2016,Hendrik-Ido-Ambacht,60
7425GX,8,3,107486593,KDV,08141555,25-06-2025,Deventer,28
7425GX,8,3,193082329,BSO,08224017,30-04-2014,Deventer,65
7425GX,8,3,480091894,BSO,08203056,25-11-2014,Deventer,62
7425GX,8,3,571176161,KDV,08141555,12-08-2014,Deventer,16
7425GX,8,3,610255435,KDV,08224017,30-04-2014,Deventer,16
7425GX,8,3,637315911,BSO,08141555,21-10-2014,Deventer,22
7425GX,8,3,686384398,BSO,08141555,01-01-2010,Deventer,38
7425GX,8,3,994845789,KDV,08203056,25-11-2014,Deventer,16
2642JK,7,3,105097871,BSO,30278497,06-04-2017,Pijnacker,33
2642JK,7,3,193527108,KDV,41154302,01-09-2012,Pijnacker,32
2642JK,7,3,235312137,KDV,41146828,19-04-2005,Pijnacker,48
2642JK,7,3,546791372,BSO,30278497,01-03-2022,Pijnacker,22
2642JK,7,3,708808190,BSO,41146828,01-01-2003,Pijnacker,121
2642JK,7,3,785437459,KDV,30278497,21-03-2019,Pijnacker,41
2642JK,7,3,852466067,KDV,41146828,01-01-2003,Pijnacker,36
7006SM,7,2,140465881,KDV,62152831,01-08-2023,Doetinchem,32
7006SM,7,2,202337145,BSO,62152831,01-05-2025,Doetinchem,22
7006SM,7,2,202724165,BSO,62152831,19-08-2016,Doetinchem,16
7006SM,7,2,210036047,KDV,41208044,09-05-2016,Doetinchem,16
7006SM,7,2,212577852,BSO,41208044,19-10-2010,Doetinchem,32
7006SM,7,2,311907970,KDV,62152831,29-06-2021,Doetinchem,15
7006SM,7,2,338304721,BSO,41208044,24-02-2025,Doetinchem,15
3708BS,6,4,100684245,BSO,88572765,13-05-2019,Zeist,20
3708BS,6,4,143040443,BSO,30248307,26-07-2024,Zeist,44
3708BS,6,4,271747754,BSO,30248307,01-08-2024,Zeist,22
3708BS,6,4,288484708,BSO,92484891,01-06-2025,Zeist,32
3708BS,6,4,292088279,BSO,50142623,01-01-2010,Zeist,36
3708BS,6,4,668840535,BSO,88572765,01-05-2015,Zeist,47
3544DB,6,4,100961691,KDV,30172731,01-01-2010,Utrecht,92
3544DB,6,4,110178476,BSO,30191567,01-01-2010,Utrecht,92
3544DB,6,4,145926059,KDV,30191567,22-05-2023,Utrecht,56
3544DB,6,4,228697323,BSO,76826007,21-08-2023,Utrecht,40
3544DB,6,4,303168237,KDV,41135920,22-08-2023,Utrecht,16
3544DB,6,4,342624209,KDV,41135920,08-05-2023,Utrecht,16
2691TM,6,1,105886385,BSO,27308247,07-08-2017,'s-Gravenzande,47
2691TM,6,1,114785387,KDV,27308247,01-01-2010,'s-Gravenzande,16
2691TM,6,1,160877829,BSO,27308247,01-01-2020,'s-Gravenzande,22
2691TM,6,1,223270921,VGO,,30-08-2021,'s-Gravenzande,6
2691TM,6,1,298084491,KDV,27308247,07-08-2017,'s-Gravenzande,28
2691TM,6,1,922258855,BSO,27308247,01-01-2010,'s-Gravenzande,60
8925AG,6,1,107632251,KDV,01104421,20-04-2017,Leeuwarden,16
8925AG,6,1,128955247,BSO,01104421,17-12-2019,Leeuwarden,48
8925AG,6,1,225662012,KDV,01104421,01-01-2010,Leeuwarden,41
8925AG,6,1,293845578,KDV,01104421,20-12-2019,Leeuwarden,16
8925AG,6,1,391237342,BSO,01104421,20-12-2019,Leeuwarden,20
8925AG,6,1,614616207,BSO,01104421,04-02-2025,Leeuwarden,36
1108EL,6,4,110405559,KDV,34206306,30-07-2012,Amsterdam,6
1108EL,6,4,139212632,BSO,34206306,01-10-2024,Amsterdam,22
1108EL,6,4,181542936,KDV,34256283,01-01-2010,Amsterdam,42
1108EL,6,4,303991963,BSO,30225440,21-03-2016,Amsterdam,50
1108EL,6,4,317634483,BSO,77883594,01-11-2023,Amsterdam,28
1108EL,6,4,885338844,KDV,34206306,30-07-2012,Amsterdam,30
2103VT,6,4,110519176,BSO,52887952,01-01-2010,Heemstede,20
2103VT,6,4,122646848,BSO,33303797,25-08-2025,Heemstede,36
2103VT,6,4,217752780,BSO,34245030,18-12-2025,Heemstede,90
2103VT,6,4,259326239,BSO,63680130,17-08-2020,Heemstede,54
2103VT,6,4,327807738,BSO,63680130,29-06-2021,Heemstede,40
2103VT,6,4,665840263,KDV,33303797,01-01-2010,Heemstede,66
1103AC,6,3,111722068,KDV,34206306,25-08-2025,Amsterdam,16
1103AC,6,3,113256152,KDV,92164013,15-08-2025,Amsterdam,32
1103AC,6,3,134668856,BSO,34258209,22-12-2025,Amsterdam,112
1103AC,6,3,184951768,KDV,34258209,17-01-2014,Amsterdam,31
1103AC,6,3,301926517,KDV,34258209,22-12-2025,Amsterdam,45
1103AC,6,3,611571407,BSO,34258209,01-01-2010,Amsterdam,68
2721GE,6,2,116908865,BSO,41166169,04-08-2017,Zoetermeer,60
2721GE,6,2,213631866,BSO,41135920,01-01-2010,Zoetermeer,36
2721GE,6,2,224571382,KDV,41135920,02-01-2013,Zoetermeer,32
2721GE,6,2,243653943,KDV,41135920,15-07-2016,Zoetermeer,15
2721GE,6,2,322971688,KDV,41166169,12-09-2025,Zoetermeer,14
2721GE,6,2,675255211,BSO,41135920,01-01-2010,Zoetermeer,70
8262CN,6,3,119682709,BSO,99012340,22-12-2025,Kampen,12
8262CN,6,3,175913614,BSO,85234621,24-11-2017,Kampen,12
8262CN,6,3,228632894,KDV,34162208,23-08-2018,Kampen,16
8262CN,6,3,319609091,BSO,34162208,01-09-2019,Kampen,25
8262CN,6,3,563746762,KDV,85234621,04-03-2019,Kampen,40
8262CN,6,3,946638822,KDV,99012340,22-12-2025,Kampen,40
2652EA,6,4,122995405,BSO,30278497,02-02-2010,Berkel en Rodenrijs,56
2652EA,6,4,196375241,BSO,84851481,19-12-2024,Berkel en Rodenrijs,60
2652EA,6,4,197491613,KDV,84851481,19-12-2024,Berkel en Rodenrijs,32
2652EA,6,4,269900391,KDV,60901934,15-02-2016,Berkel en Rodenrijs,32
2652EA,6,4,465499090,BSO,41135920,20-08-2020,Berkel en Rodenrijs,30
2652EA,6,4,940175678,BSO,41135920,10-01-2025,Berkel en Rodenrijs,22
1339NW,6,4,128050676,BSO,87605759,27-08-2021,Almere,24
1339NW,6,4,179559539,KDV,32152471,26-05-2009,Almere,65
1339NW,6,4,183530020,KDV,83295836,26-05-2009,Almere,40
1339NW,6,4,190536081,BSO,88278352,03-05-2023,Almere,22
1339NW,6,4,224218505,BSO,83295836,26-05-2009,Almere,70
1339NW,6,4,254407031,KDV,87605759,27-08-2021,Almere,13
9408AM,6,3,129527051,KDV,02071716,22-10-2019,Assen,16
9408AM,6,3,136018373,KDV,64509907,18-02-2019,Assen,32
9408AM,6,3,161483276,BSO,93336608,19-03-2019,Assen,34
9408AM,6,3,174651284,KDV,93336608,01-07-2025,Assen,14
9408AM,6,3,325937618,BSO,64509907,18-02-2019,Assen,69
9408AM,6,3,792614732,BSO,02071716,14-08-2017,Assen,63
3991LC,6,2,131239454,KDV,33303797,08-05-2017,Houten,16
3991LC,6,2,181151054,BSO,30259493,18-07-2025,Houten,20
3991LC,6,2,247300706,KDV,30259493,02-11-2016,Houten,120
3991LC,6,2,314263937,BSO,33303797,08-05-2017,Houten,128
3991LC,6,2,709790752,BSO,30259493,19-09-2010,Houten,150
3991LC,6,2,855991185,BSO,30259493,15-08-2022,Houten,150
4758AM,6,2,141091563,BSO,20129628,31-07-2024,Standdaarbuiten,5
4758AM,6,2,155125771,KDV,20135078,09-09-2013,Standdaarbuiten,16
4758AM,6,2,162238083,BSO,20135078,03-06-2013,Standdaarbuiten,22
4758AM,6,2,598610315,KDV,20129628,05-09-2022,Standdaarbuiten,16
4758AM,6,2,992777689,KDV,20129628,30-11-2010,Standdaarbuiten,16
4758AM,6,2,999191536,BSO,20129628,04-11-2022,Standdaarbuiten,8
3142LC,6,4,142192041,BSO,24416445,15-07-2015,Maassluis,32
3142LC,6,4,221541937,KDV,27266792,04-10-2016,Maassluis,47
3142LC,6,4,247781125,KDV,66939623,01-09-2025,Maassluis,16
3142LC,6,4,310353993,BSO,27266792,09-09-2015,Maassluis,42
3142LC,6,4,441968764,KDV,41141268,29-05-2012,Maassluis,48
3142LC,6,4,471593382,BSO,41141268,01-01-2010,Maassluis,55
1319EA,6,2,146594204,KDV,86412361,22-02-2016,Almere,32
1319EA,6,2,160079639,BSO,41246418,02-07-2013,Almere,65
1319EA,6,2,172756327,BSO,86412361,01-04-2010,Almere,22
1319EA,6,2,340535337,KDV,41246418,02-07-2013,Almere,42
1319EA,6,2,635679450,KDV,86412361,01-05-2010,Almere,69
1319EA,6,2,764684206,BSO,86412361,25-11-2022,Almere,61
8031HL,6,3,153643730,KDV,08188556,01-06-2016,Zwolle,16
8031HL,6,3,236512134,KDV,05027189,14-11-2012,Zwolle,16
8031HL,6,3,252587674,BSO,34162208,22-09-2016,Zwolle,10
8031HL,6,3,253050200,KDV,05027189,01-01-2026,Zwolle,16
8031HL,6,3,321719852,BSO,08188556,23-11-2016,Zwolle,30
8031HL,6,3,831721741,KDV,05027189,14-11-2012,Zwolle,13
8932BR,6,3,155810406,KDV,01104421,11-08-2014,Leeuwarden,48
8932BR,6,3,170528765,KDV,41002574,15-08-2013,Leeuwarden,28
8932BR,6,3,177673072,BSO,41002574,01-01-2010,Leeuwarden,22
8932BR,6,3,215607107,BSO,54564603,18-01-2019,Leeuwarden,20
8932BR,6,3,589731221,BSO,01104421,01-01-2010,Leeuwarden,64
8932BR,6,3,674651819,KDV,54564603,18-01-2019,Leeuwarden,30
4191DN,6,2,177185533,BSO,73192406,21-10-2025,Geldermalsen,22
4191DN,6,2,238877425,BSO,73192406,03-12-2025,Geldermalsen,22
4191DN,6,2,266421878,KDV,54767873,21-08-2023,Geldermalsen,29
4191DN,6,2,283766372,BSO,54767873,21-08-2023,Geldermalsen,44
4191DN,6,2,306458743,KDV,73192406,03-12-2025,Geldermalsen,15
4191DN,6,2,860293932,VGO,,08-11-2010,Geldermalsen,6
2902JD,6,2,178609717,KDV,60839066,22-07-2022,Capelle aan den IJssel,16
2902JD,6,2,252868894,BSO,60839066,22-07-2022,Capelle aan den IJssel,22
2902JD,6,2,292567467,BSO,41135920,25-07-2022,Capelle aan den IJssel,22
2902JD,6,2,323110447,KDV,41135920,14-07-2022,Capelle aan den IJssel,16
2902JD,6,2,467864445,BSO,41135920,25-07-2022,Capelle aan den IJssel,20
2902JD,6,2,562552479,KDV,41135920,26-04-2022,Capelle aan den IJssel,16
2906VK,6,2,186214005,KDV,41135920,22-02-2018,Capelle aan den IJssel,16
2906VK,6,2,204714989,KDV,22049355,18-08-2015,Capelle aan den IJssel,40
2906VK,6,2,219024704,BSO,22049355,01-01-2014,Capelle aan den IJssel,66
2906VK,6,2,224443136,BSO,41135920,22-02-2018,Capelle aan den IJssel,22
2906VK,6,2,448690858,KDV,41135920,01-01-2010,Capelle aan den IJssel,42
2906VK,6,2,932342991,BSO,41135920,01-01-2010,Capelle aan den IJssel,38
2643MC,6,2,197739283,KDV,41146828,14-03-2024,Pijnacker,32
2643MC,6,2,229224313,BSO,41146828,24-11-2015,Pijnacker,46
2643MC,6,2,301087027,BSO,41146828,27-02-2017,Pijnacker,48
2643MC,6,2,565652229,BSO,41146828,06-02-2023,Pijnacker,66
2643MC,6,2,584861850,BSO,41146828,09-08-2013,Pijnacker,41
2643MC,6,2,770593884,KDV,41154302,09-08-2013,Pijnacker,32
9675JA,6,4,252512509,BSO,41014838,17-08-2020,Winschoten,30
9675JA,6,4,316453225,BSO,68113722,09-02-2016,Winschoten,20
9675JA,6,4,628769945,BSO,89608518,01-02-2018,Winschoten,15
9675JA,6,4,972925594,KDV,86683195,30-01-2025,Winschoten,24
9675JA,6,4,992300216,KDV,41014838,08-05-2025,Winschoten,16
9675JA,6,4,997759653,KDV,68113722,01-01-2017,Winschoten,28
3541DZ,6,3,298495302,BSO,33303797,26-06-2020,Utrecht,55
3541DZ,6,3,308887979,KDV,30182723,16-01-2017,Utrecht,16
3541DZ,6,3,775156668,BSO,30182723,15-01-2017,Utrecht,136
3541DZ,6,3,859581573,KDV,33303797,26-06-2020,Utrecht,92
3541DZ,6,3,904513634,BSO,99096706,01-10-2023,Utrecht,34
3541DZ,6,3,960552868,KDV,99096706,29-08-2024,Utrecht,15
6681CD,5,2,100054006,BSO,85036722,06-02-2012,Bemmel,34
6681CD,5,2,229408977,BSO,09127903,01-01-2010,Bemmel,23
6681CD,5,2,310208713,BSO,85036722,10-01-2017,Bemmel,30
6681CD,5,2,618156732,KDV,85036722,21-08-2014,Bemmel,16
6681CD,5,2,761911558,BSO,09127903,01-10-2024,Bemmel,27
2625KX,5,2,100294881,KDV,61143464,05-01-2021,Delft,16
2625KX,5,2,218924902,KDV,41145140,27-07-2017,Delft,15
2625KX,5,2,222468750,BSO,41145140,25-07-2017,Delft,58
2625KX,5,2,285861852,BSO,61143464,31-05-2018,Delft,33
2625KX,5,2,296672166,KDV,41145140,05-03-2019,Delft,16
4421BW,5,2,101260805,BSO,22049355,25-08-2016,Kapelle,66
4421BW,5,2,123936329,BSO,34162208,04-12-2015,Kapelle,21
4421BW,5,2,152343490,KDV,34162208,01-12-2015,Kapelle,32
4421BW,5,2,176098707,KDV,22049355,25-08-2016,Kapelle,60
4421BW,5,2,197408631,BSO,22049355,01-01-2010,Kapelle,20
2771SX,5,3,104634108,BSO,41135920,07-10-2013,Boskoop,40
2771SX,5,3,187892684,KDV,41135920,07-10-2013,Boskoop,67
2771SX,5,3,249887484,BSO,41135920,01-01-2007,Boskoop,44
2771SX,5,3,260195546,BSO,41166169,02-04-2024,Boskoop,36
2771SX,5,3,665669781,BSO,28096866,18-03-2021,Boskoop,20
1324HX,5,1,105006889,KDV,71094164,25-07-2014,Almere,20
1324HX,5,1,175625980,KDV,71094164,06-02-2015,Almere,30
1324HX,5,1,253444160,BSO,71094164,17-08-2020,Almere,11
1324HX,5,1,326411392,BSO,71094164,06-12-2016,Almere,40
1324HX,5,1,825632171,KDV,71094164,05-08-2020,Almere,10
7641EX,5,3,105470168,KDV,60381221,01-05-2012,Wierden,28
7641EX,5,3,110249240,KDV,30225440,06-09-2010,Wierden,60
7641EX,5,3,178976246,KDV,08161427,18-08-2014,Wierden,14
7641EX,5,3,287287920,BSO,60381221,28-06-2021,Wierden,20
7641EX,5,3,876351367,BSO,30225440,06-09-2010,Wierden,72
3356DA,5,1,106138121,KDV,41120243,31-08-2020,Papendrecht,16
3356DA,5,1,106530306,KDV,41120243,19-10-2020,Papendrecht,16
3356DA,5,1,154721761,BSO,41120243,01-01-2005,Papendrecht,80
3356DA,5,1,172703657,KDV,41120243,31-08-2020,Papendrecht,16
3356DA,5,1,229690804,KDV,41120243,01-01-2005,Papendrecht,36
1104NA,5,1,106796823,BSO,34206306,01-09-2025,Amsterdam,22
1104NA,5,1,112319890,KDV,34206306,30-10-2012,Amsterdam,16
1104NA,5,1,132050110,KDV,34206306,30-10-2012,Amsterdam,30
1104NA,5,1,292694787,BSO,34206306,23-03-2018,Amsterdam,44
1104NA,5,1,560824300,KDV,34206306,30-10-2012,Amsterdam,16
4561KZ,5,1,106813869,KDV,67726534,01-03-2013,Hulst,48
4561KZ,5,1,113393313,BSO,67726534,01-03-2013,Hulst,60
4561KZ,5,1,205854813,BSO,67726534,18-08-2025,Hulst,24
4561KZ,5,1,299041621,KDV,67726534,09-07-2014,Hulst,16
4561KZ,5,1,831499886,BSO,67726534,09-07-2014,Hulst,33
7913RE,5,2,107043130,KDV,34162208,04-10-2010,Hollandscheveld,16
7913RE,5,2,131380096,BSO,34162208,23-06-2014,Hollandscheveld,22
7913RE,5,2,175743605,BSO,63889064,26-08-2019,Hollandscheveld,4
7913RE,5,2,217351761,BSO,34162208,27-01-2021,Hollandscheveld,15
7913RE,5,2,993721291,KDV,63889064,15-12-2015,Hollandscheveld,6
1622ES,5,2,107093467,KDV,34225103,16-11-2018,Hoorn,16
1622ES,5,2,134452446,KDV,41236397,10-10-2016,Hoorn,16
1622ES,5,2,199353943,KDV,41236397,01-08-2015,Hoorn,16
1622ES,5,2,753952464,BSO,41236397,20-06-2016,Hoorn,24
1622ES,5,2,876165882,BSO,34225103,11-09-2018,Hoorn,30
4105LE,5,2,107634776,BSO,60901934,01-06-2012,Culemborg,66
4105LE,5,2,152536991,KDV,41059819,01-01-2010,Culemborg,88
4105LE,5,2,225270456,BSO,41059819,01-01-2010,Culemborg,46
4105LE,5,2,247126512,BSO,41059819,14-12-2017,Culemborg,24
4105LE,5,2,889524580,KDV,60901934,01-01-2010,Culemborg,76
8251LD,5,2,108067324,KDV,39071570,01-01-2005,Dronten,56
8251LD,5,2,120935144,KDV,50442090,30-07-2019,Dronten,16
8251LD,5,2,214947099,BSO,50442090,30-07-2019,Dronten,22
8251LD,5,2,331457726,BSO,39071570,07-01-2021,Dronten,40
8251LD,5,2,915954965,KDV,39071570,02-01-2005,Dronten,32
2722BN,5,2,110124789,BSO,41135920,19-10-2010,Zoetermeer,22
2722BN,5,2,111212510,KDV,41135920,11-06-2024,Zoetermeer,14
2722BN,5,2,249037877,BSO,41166169,08-08-2016,Zoetermeer,30
2722BN,5,2,272247716,KDV,41135920,01-01-1995,Zoetermeer,46
2722BN,5,2,775881648,BSO,41135920,11-06-2024,Zoetermeer,20
4003AP,5,3,110174616,BSO,09075473,12-11-2025,Tiel,24
4003AP,5,3,155560402,BSO,54767873,16-09-2011,Tiel,20
4003AP,5,3,263482017,KDV,11063333,01-01-2023,Tiel,32
4003AP,5,3,302002753,KDV,54767873,16-09-2011,Tiel,12
4003AP,5,3,997148950,VGO,,14-01-2020,Tiel,6
7776BA,5,1,110190166,BSO,08180734,01-01-2010,Slagharen,3
7776BA,5,1,137938007,KDV,08180734,01-01-2010,Slagharen,9
7776BA,5,1,213856992,KDV,08180734,10-03-2011,Slagharen,10
7776BA,5,1,219910431,BSO,08180734,01-03-2014,Slagharen,30
7776BA,5,1,311799930,BSO,08180734,16-06-2022,Slagharen,11
2133DW,5,2,110572282,BSO,60901934,16-07-2013,Hoofddorp,86
2133DW,5,2,145007078,KDV,60901934,16-07-2013,Hoofddorp,62
2133DW,5,2,189641368,KDV,41223014,24-10-2022,Hoofddorp,16
2133DW,5,2,210422798,KDV,41223014,28-02-2022,Hoofddorp,16
2133DW,5,2,255143254,BSO,41223014,02-09-2024,Hoofddorp,20
2546SK,5,3,113594550,BSO,41156590,22-10-2004,'s-Gravenhage,90
2546SK,5,3,140594218,KDV,69092222,09-10-2019,'s-Gravenhage,32
2546SK,5,3,255438424,KDV,41156590,01-04-2025,'s-Gravenhage,16
2546SK,5,3,331488887,BSO,41135920,14-10-2019,'s-Gravenhage,50
2546SK,5,3,723005436,KDV,41135920,21-10-2019,'s-Gravenhage,44
3994AE,5,3,115099724,BSO,50197649,19-09-2010,Houten,50
3994AE,5,3,173651495,KDV,30225440,19-09-2010,Houten,128
3994AE,5,3,199503540,BSO,30225440,19-09-2010,Houten,120
3994AE,5,3,720888463,BSO,30278497,01-09-2024,Houten,22
3994AE,5,3,742133606,BSO,30225440,19-09-2010,Houten,44
2641CA,5,3,116010836,BSO,53076257,20-09-2024,Pijnacker,272
2641CA,5,3,119097904,BSO,41146828,18-09-2024,Pijnacker,65
2641CA,5,3,158817771,KDV,41146828,16-01-2025,Pijnacker,32
2641CA,5,3,216781371,KDV,53076257,20-09-2024,Pijnacker,98
2641CA,5,3,307860140,KDV,41154302,18-09-2024,Pijnacker,16
2408ST,5,1,116625442,KDV,41166169,06-08-2021,Alphen aan den Rijn,16
2408ST,5,1,171530639,BSO,41166169,27-04-2010,Alphen aan den Rijn,44
2408ST,5,1,214902420,BSO,41166169,01-01-2010,Alphen aan den Rijn,120
2408ST,5,1,323156575,BSO,41166169,12-07-2022,Alphen aan den Rijn,36
2408ST,5,1,780717685,KDV,41166169,09-08-2006,Alphen aan den Rijn,104
2313GG,5,4,117845334,BSO,60901934,01-01-2010,Leiden,30
2313GG,5,4,134317300,BSO,28093929,01-01-2010,Leiden,20
2313GG,5,4,223559064,BSO,28093929,01-01-2010,Leiden,61
2313GG,5,4,335063421,BSO,41165967,22-08-2022,Leiden,44
2313GG,5,4,789401599,KDV,28099826,22-08-2016,Leiden,14
2391AX,5,1,118461205,BSO,41166169,01-05-2012,Hazerswoude-Dorp,33
2391AX,5,1,177590592,KDV,41166169,24-08-2021,Hazerswoude-Dorp,16
2391AX,5,1,178542775,KDV,41166169,01-05-2002,Hazerswoude-Dorp,60
2391AX,5,1,201978921,BSO,41166169,16-11-2017,Hazerswoude-Dorp,48
2391AX,5,1,616953768,BSO,41166169,01-05-2002,Hazerswoude-Dorp,30
2411KR,5,2,119234294,KDV,41166169,30-11-2020,Bodegraven,16
2411KR,5,2,127990112,KDV,41166169,13-10-2023,Bodegraven,16
2411KR,5,2,158465106,BSO,41166169,26-10-2020,Bodegraven,53
2411KR,5,2,216896526,KDV,30182723,17-08-2020,Bodegraven,16
2411KR,5,2,847024155,BSO,30182723,15-12-2017,Bodegraven,68
7007LA,5,2,123327659,BSO,41208044,18-07-2022,Doetinchem,10
7007LA,5,2,182989999,BSO,41208044,01-01-2005,Doetinchem,70
7007LA,5,2,307563509,KDV,41040789,10-11-2023,Doetinchem,16
7007LA,5,2,336757608,KDV,41208044,13-08-2010,Doetinchem,88
7007LA,5,2,417287161,BSO,41040789,27-12-2010,Doetinchem,60
9951HZ,5,3,126817819,BSO,41015136,04-09-2023,Winsum,20
9951HZ,5,3,166888606,KDV,80795153,27-02-2006,Winsum,46
9951HZ,5,3,274490420,KDV,41015136,04-09-2023,Winsum,16
9951HZ,5,3,309942093,BSO,80795153,12-05-2023,Winsum,22
9951HZ,5,3,314548610,BSO,91303176,17-07-2023,Winsum,50
3828JN,5,3,128729296,KDV,41189982,18-07-2022,Hoogland,16
3828JN,5,3,157119695,KDV,78480086,07-07-2015,Hoogland,16
3828JN,5,3,180741032,BSO,86487639,18-01-2024,Hoogland,44
3828JN,5,3,243786074,BSO,41189982,18-07-2022,Hoogland,24
3828JN,5,3,461366320,BSO,78480086,07-07-2015,Hoogland,42
2131VN,5,3,129913078,KDV,41223014,10-10-2019,Hoofddorp,29
2131VN,5,3,161738060,KDV,52407713,03-11-2014,Hoofddorp,16
2131VN,5,3,174411534,BSO,52407713,09-10-2014,Hoofddorp,20
2131VN,5,3,324311540,BSO,34154944,01-08-2017,Hoofddorp,40
2131VN,5,3,418525997,BSO,41223014,01-01-2010,Hoofddorp,68
1035EE,5,2,131008584,KDV,34327012,01-01-2010,Amsterdam,82
1035EE,5,2,144713883,BSO,69217440,19-10-2020,Amsterdam,32
1035EE,5,2,289164291,KDV,34327012,17-08-2020,Amsterdam,16
1035EE,5,2,370026913,KDV,69217440,07-08-2012,Amsterdam,16
1035EE,5,2,631977089,BSO,34327012,01-01-2010,Amsterdam,46
9737AB,5,3,131261599,KDV,78449995,01-01-2010,Groningen,48
9737AB,5,3,217483112,KDV,01147151,05-01-2012,Groningen,8
9737AB,5,3,233650970,BSO,01147151,05-01-2012,Groningen,8
9737AB,5,3,337968457,BSO,41012651,01-01-2010,Groningen,30
9737AB,5,3,401017278,BSO,78449995,01-01-2010,Groningen,22
7814VH,5,3,132417340,BSO,78330548,25-04-2023,Emmen,48
7814VH,5,3,140059933,KDV,90840186,03-04-2018,Emmen,14
7814VH,5,3,154615274,BSO,90840186,01-01-2010,Emmen,54
7814VH,5,3,818197535,KDV,90997972,11-03-2025,Emmen,9
7814VH,5,3,838653297,KDV,90840186,01-01-2010,Emmen,57
1323VP,5,3,132714516,KDV,93270410,01-09-2025,Almere,16
1323VP,5,3,165320321,BSO,60901934,01-01-2010,Almere,40
1323VP,5,3,221633893,BSO,32135505,01-01-2010,Almere,26
1323VP,5,3,320438399,KDV,60901934,01-09-2010,Almere,32
1323VP,5,3,767208201,KDV,32135505,01-01-2010,Almere,27
1087LG,5,2,132745215,BSO,50094769,01-09-2010,Amsterdam,90
1087LG,5,2,171553238,BSO,30225440,26-10-2011,Amsterdam,270
1087LG,5,2,209096354,BSO,50094769,08-06-2010,Amsterdam,60
1087LG,5,2,500419462,KDV,30225440,04-11-2011,Amsterdam,68
1087LG,5,2,980827267,KDV,50094769,08-08-2017,Amsterdam,28
3984MA,5,3,132848752,BSO,30182723,01-01-2010,Odijk,50
3984MA,5,3,154513866,KDV,30182723,01-01-2013,Odijk,16
3984MA,5,3,160789151,BSO,85556858,01-09-2018,Odijk,100
3984MA,5,3,204650586,KDV,85556858,11-11-2025,Odijk,16
3984MA,5,3,371559674,BSO,41208044,01-01-2010,Odijk,50
3981GD,5,3,132876462,BSO,30225440,12-11-2013,Bunnik,98
3981GD,5,3,205916910,BSO,30182723,01-12-2013,Bunnik,44
3981GD,5,3,231463832,KDV,30225440,11-11-2013,Bunnik,36
3981GD,5,3,353279675,KDV,30182723,01-12-2013,Bunnik,28
3981GD,5,3,962702894,BSO,41208044,12-11-2013,Bunnik,80
3089RL,5,3,133064116,KDV,24384799,01-03-2016,Rotterdam,16
3089RL,5,3,135035284,BSO,72275030,15-10-2018,Rotterdam,8
3089RL,5,3,236940855,BSO,72889195,16-07-2019,Rotterdam,22
3089RL,5,3,280229422,KDV,72889195,01-09-2020,Rotterdam,12
3089RL,5,3,309750581,KDV,72275030,15-10-2018,Rotterdam,8
7833GH,5,2,133894599,KDV,90997972,14-08-2014,Nieuw-Amsterdam,14
7833GH,5,2,197471754,KDV,78330548,28-08-2023,Nieuw-Amsterdam,28
7833GH,5,2,252410713,VGO,,06-10-2020,Nieuw-Amsterdam,6
7833GH,5,2,341847306,BSO,78330548,29-10-2013,Nieuw-Amsterdam,55
7833GH,5,2,604731954,VGO,,06-10-2020,Nieuw-Amsterdam,6
7327DJ,5,1,134368034,KDV,66192633,14-07-2022,Apeldoorn,8
7327DJ,5,1,189856804,KDV,66192633,11-07-2022,Apeldoorn,20
7327DJ,5,1,301012805,BSO,66192633,08-07-2022,Apeldoorn,55
7327DJ,5,1,393669038,KDV,66192633,14-07-2022,Apeldoorn,30
7327DJ,5,1,412474785,BSO,66192633,14-07-2022,Apeldoorn,15
3085DT,5,4,134930988,BSO,09180769,01-01-2010,Rotterdam,120
3085DT,5,4,265292906,KDV,41126911,01-03-2016,Rotterdam,32
3085DT,5,4,306758519,KDV,24384799,01-03-2016,Rotterdam,32
3085DT,5,4,806627670,VGO,,21-10-2014,Rotterdam,6
3085DT,5,4,941509291,KDV,09161221,01-01-2010,Rotterdam,48
3045PZ,5,2,135517552,KDV,24384799,17-08-2020,Rotterdam,48
3045PZ,5,2,219771674,BSO,24384799,17-08-2020,Rotterdam,84
3045PZ,5,2,601458801,KDV,24384799,05-02-2024,Rotterdam,16
3045PZ,5,2,777166896,KDV,24416342,09-10-2020,Rotterdam,44
3045PZ,5,2,782130458,BSO,24416342,09-10-2020,Rotterdam,66
