budget_name,regeling,instrument,year,amount_k,baseline_k,deviation_pct,deviation_direction,n_years
Binnenlandse Zaken en Koninkrijksrelaties,Diverse bijdragen,Bijdrage aan agentschappen,2021,8271,1824,353.4,over,6
Economische Zaken en Klimaat,Bijdrage aan NWO-TTW,Bijdrage aan ZBOs en RWTs,2023,42368,9512,345.4,over,6
Economische Zaken en Klimaat,Cofinanciering EFRO incl. Interreg,Subsidies (regelingen),2022,25629,5778,343.6,over,5
"Onderwijs, Cultuur en Wetenschap",Programma leesbevordering,Subsidies (regelingen),2022,16416,3822,329.5,over,8
"Onderwijs, Cultuur en Wetenschap",Onderwijsdeel wo,Bekostiging,2022,6421164,1559745,311.7,over,8
Economische Zaken en Klimaat,Thematisch Technology Transfer,Subsidies (regelingen),2023,5724,1393,310.8,over,5
Defensie,Bijdrage aan internationale samenwerking,Bijdrage aan (inter-)nationale organisaties,2023,22366,5469,309.0,over,4
Binnenlandse Zaken en Koninkrijksrelaties,RVB (Bijdr monument),Bijdrage aan agentschappen,2023,7932,1982,300.1,over,5
"Onderwijs, Cultuur en Wetenschap",Caribisch Nederland,Bijdrage aan medeoverheden,2023,33514,8441,297.0,over,8
Buitenlandse Zaken,NAVO,Bijdrage aan (inter-)nationale organisaties,2023,25492,6505,291.9,over,8
Economische Zaken en Klimaat,Cofinanciering EFRO incl. Interreg,Subsidies (regelingen),2023,48524,12395,291.5,over,5
"Onderwijs, Cultuur en Wetenschap",Specifiek cultuurbeleid,Subsidies (regelingen),2020,131299,33632,290.4,over,8
Economische Zaken en Klimaat,MIT R&D Samenwerkingsprojecten,Subsidies (regelingen),2023,6156,1609,282.5,over,5
Buitenlandse Zaken,Internationaal Strafhof,Bijdrage aan (inter-)nationale organisaties,2022,7065,1877,276.3,over,8
Binnenlandse Zaken en Koninkrijksrelaties,Weerbaar bestuur,Subsidies (regelingen),2023,4896,1307,274.5,over,5
Buitenlandse Zaken,NAVO,Bijdrage aan (inter-)nationale organisaties,2021,9414,2543,270.2,over,8
"Onderwijs, Cultuur en Wetenschap",Bekostiging Caribisch Nederland,Bekostiging,2022,63083,17050,270.0,over,8
"Onderwijs, Cultuur en Wetenschap",Basisbeurs prestatiebeurs (NR),Leningen,2023,556696,-331408,-268.0,under,4
Defensie,Bekostiging diverse instellingen,Bekostiging,2023,15552,4228,267.8,over,5
Binnenlandse Zaken en Koninkrijksrelaties,Kadaster,Bijdrage aan ZBOs en RWTs,2023,90960,24732,267.8,over,6
Economische Zaken en Klimaat,INTERNATIONAAL_INNOVEREN,Bijdrage aan (inter-)nationale organisaties,2023,90818,24908,264.6,over,6
Economische Zaken en Klimaat,Bijdrage aan TNO,Bijdrage aan ZBOs en RWTs,2023,503072,138437,263.4,over,6
Sociale Zaken en Werkgelegenheid,DUO,Bijdrage aan agentschappen,2023,72378,20507,252.9,over,8
Buitenlandse Zaken,OVSE,Bijdrage aan (inter-)nationale organisaties,2021,6267,1792,249.7,over,8
Buitenlandse Zaken,Internationaal Strafhof,Bijdrage aan (inter-)nationale organisaties,2021,5632,1614,248.9,over,8
Economische Zaken en Klimaat,Topconsortia voor Kennis en Innovatie,Bijdrage aan (inter-)nationale organisaties,2023,336562,97367,245.7,over,6
Buitenlandse Zaken,OVSE,Bijdrage aan (inter-)nationale organisaties,2022,7218,2089,245.5,over,8
Gemeentefonds,Algemene uitkering,Bijdrage aan medeoverheden,2024,38751783,11240408,244.8,over,8
"Onderwijs, Cultuur en Wetenschap","Stichting Kennisnet (basissubsidie) po, vo, mbo",Subsidies (regelingen),2023,70604,20484,244.7,over,6
Economische Zaken en Klimaat,EUROSTARS,Subsidies (regelingen),2023,41246,12009,243.4,over,6
Economische Zaken en Klimaat,Invest-NL,Subsidies (regelingen),2022,10276,2992,243.4,over,6
Binnenlandse Zaken en Koninkrijksrelaties,Bouwregelgeving en bouwkwaliteit,Subsidies (regelingen),2023,22210,6482,242.6,over,5
"Onderwijs, Cultuur en Wetenschap",Investeringsbudget,Bekostiging,2023,1172214,342789,242.0,over,8
Defensie,Kennisopbouw MARIN via EZ,Bijdrage aan (andere) begrotingshoofdstukken,2023,7058,2077,239.8,over,5
Buitenlandse Zaken,Verenigde Naties,Bijdrage aan (inter-)nationale organisaties,2023,76536,22571,239.1,over,8
Binnenlandse Zaken en Koninkrijksrelaties,Woningmarkt,Subsidies (regelingen),2023,29560,8762,237.4,over,5
"Onderwijs, Cultuur en Wetenschap",Bekostiging Caribisch Nederland,Bekostiging,2023,127930,38078,236.0,over,8
Buitenlandse Zaken,OESO,Bijdrage aan (inter-)nationale organisaties,2021,7423,2210,235.9,over,8
Economische Zaken en Klimaat,Groeifaciliteit,Garanties,2023,9308,2775,235.4,over,6
Financiën,Bijdrage FEC,Bijdrage aan ZBOs en RWTs,2023,9198,2746,234.9,over,6
