budget_name,regeling,instrument,year,amount_k,baseline_k,deviation_pct,deviation_direction,n_years
Economische Zaken en Klimaat,Programmatische Samenwerkingsverbanden,Bijdrage aan (inter-)nationale organisaties,2022,19998,9149,118.6,over,6
"Onderwijs, Cultuur en Wetenschap",Nederlandse Taalunie,Bijdrage aan (inter-)nationale organisaties,2023,15602,7146,118.3,over,8
"Onderwijs, Cultuur en Wetenschap",NWO: Promotiebeurs voor leraren,Bijdrage aan ZBOs en RWTs,2023,22692,10406,118.1,over,8
"Onderwijs, Cultuur en Wetenschap",Onderwijsdeel hbo,Bekostiging,2023,8225976,3771421,118.1,over,8
"Onderwijs, Cultuur en Wetenschap",Gender- en LHTBI Gelijkheid,Subsidies (regelingen),2022,6922,3184,117.4,over,6
"Onderwijs, Cultuur en Wetenschap",SLOA: onderw ondersteunende instellingen po/vo/mbo,Bijdrage aan ZBOs en RWTs,2023,94160,43545,116.2,over,7
Sociale Zaken en Werkgelegenheid,DUO,Bijdrage aan agentschappen,2024,74959,34695,116.0,over,8
"Onderwijs, Cultuur en Wetenschap",United Nations University (UNU),Bijdrage aan (inter-)nationale organisaties,2023,2262,1049,115.6,over,4
"Landbouw, Natuur en Voedselkwaliteit",Subsidieregeling sloop- en ombouwkosten pelsdierhouderij,Subsidies (regelingen),2023,13348,6194,115.5,over,4
"Onderwijs, Cultuur en Wetenschap",Vluchteling Studenten UAF,Subsidies (regelingen),2023,4886,2270,115.3,over,4
"Onderwijs, Cultuur en Wetenschap",ESA,Bijdrage aan (inter-)nationale organisaties,2023,70674,32941,114.5,over,8
Justitie en Veiligheid,Halt,Bijdrage aan ZBOs en RWTs,2021,12897,6034,113.7,over,6
Infrastructuur en Waterstaat,Besluit financiële bepalingen bodemsanering: Bedrijvenregeling bodemsanering,Subsidies (regelingen),2021,3113,1458,113.5,over,6
Justitie en Veiligheid,Leger des Heils,Bijdrage aan ZBOs en RWTs,2021,23861,11186,113.3,over,6
"Onderwijs, Cultuur en Wetenschap",Aanpak lerarentekort G5,Bekostiging,2023,63132,29631,113.1,over,5
Justitie en Veiligheid,Brede Doeluitkering Rampenbestrijding,Bijdrage aan medeoverheden,2024,252849,119719,111.2,over,6
Justitie en Veiligheid,Reclassering Nederland,Bijdrage aan ZBOs en RWTs,2021,160436,76070,110.9,over,6
"Landbouw, Natuur en Voedselkwaliteit",Tijdelijke Ondersteuning Nationale Parken,Subsidies (regelingen),2023,3312,1572,110.7,over,4
Infrastructuur en Waterstaat,"Subsidieregeling SWOV, TeamAlert en Veilig Verkeer Nederland 2019",Subsidies (regelingen),2023,18702,8884,110.5,over,4
"Onderwijs, Cultuur en Wetenschap",Leven Lang Ontwikkelen,Subsidies (regelingen),2021,5223,2482,110.4,over,5
Justitie en Veiligheid,Politieacademie,Bijdrage aan ZBOs en RWTs,2021,3075,1463,110.2,over,6
"Onderwijs, Cultuur en Wetenschap",Bijdrage aan (inter)nationale organisaties,Bijdrage aan (inter-)nationale organisaties,2023,3746,1788,109.5,over,7
Justitie en Veiligheid,Stichting Verslavingsreclassering GGZ,Bijdrage aan ZBOs en RWTs,2021,78826,37654,109.3,over,6
Economische Zaken en Klimaat,Groeifaciliteit,Garanties,2024,8615,4138,108.2,over,6
Justitie en Veiligheid,Politie,Bijdrage aan ZBOs en RWTs,2021,6362359,3058133,108.0,over,6
"Onderwijs, Cultuur en Wetenschap",Regionaal Investeringsfonds,Bekostiging,2023,43212,20799,107.8,over,8
"Onderwijs, Cultuur en Wetenschap",Subsidieregeling praktijkleren,Subsidies (regelingen),2019,204048,98250,107.7,over,8
"Onderwijs, Cultuur en Wetenschap",Overige subsidies,Subsidies (regelingen),2020,118638,57256,107.2,over,8
Financiën,Bijdrage overige agentschappen,Bijdrage aan agentschappen,2021,5078,2460,106.4,over,6
"Onderwijs, Cultuur en Wetenschap",NWO NWA,Bekostiging,2023,295008,143304,105.9,over,7
Binnenlandse Zaken en Koninkrijksrelaties,Diverse bijdragen,Bijdrage aan ZBOs en RWTs,2023,19018,9283,104.9,over,7
"Onderwijs, Cultuur en Wetenschap",RMC's,Bijdrage aan medeoverheden,2023,87210,42639,104.5,over,8
"Onderwijs, Cultuur en Wetenschap",Overige subsidies,Subsidies (regelingen),2021,181471,88741,104.5,over,8
"Onderwijs, Cultuur en Wetenschap",Programma leesbevordering,Subsidies (regelingen),2024,42177,20664,104.1,over,8
"Onderwijs, Cultuur en Wetenschap",Gender- en LHTBI Gelijkheid,Subsidies (regelingen),2023,9346,4596,103.4,over,6
"Onderwijs, Cultuur en Wetenschap",BPRC,Subsidies (regelingen),2023,23978,11829,102.7,over,6
"Onderwijs, Cultuur en Wetenschap",Convenanten met RMC-regio's,Bekostiging,2023,17346,8566,102.5,over,8
"Onderwijs, Cultuur en Wetenschap",Investeringsbudget,Bekostiging,2019,381329,189834,100.9,over,8
Binnenlandse Zaken en Koninkrijksrelaties,RvIG,Bijdrage aan agentschappen,2019,45465,22699,100.3,over,7
"Onderwijs, Cultuur en Wetenschap",Prestatiebox,Bekostiging,2022,-440,281943,-100.2,under,6
Justitie en Veiligheid,Bureau Financieel Toezicht,Bijdrage aan ZBOs en RWTs,2023,0,5560,-100.0,under,6
BES-fonds,Vrije uitkering,Bijdrage aan medeoverheden,2022,0,31874,-100.0,under,7
Sociale Zaken en Werkgelegenheid,Kennisinfrastructuur,Subsidies (regelingen),2021,0,1798,-100.0,under,8
Infrastructuur en Waterstaat,Besluit financiële bepalingen bodemsanering: Bedrijvenregeling bodemsanering,Subsidies (regelingen),2022,0,1993,-100.0,under,6
Financiën,Waarderingskamer,Bijdrage aan ZBOs en RWTs,2020,0,1888,-100.0,under,7
Sociale Zaken en Werkgelegenheid,Uitvoeringskosten UWV,Bijdrage aan ZBOs en RWTs,2019,0,188000,-100.0,under,8
Justitie en Veiligheid,Dienst Justis,Bijdrage aan agentschappen,2023,0,3659,-100.0,under,6
Financiën,Waarderingskamer,Bijdrage aan ZBOs en RWTs,2021,0,1259,-100.0,under,7
Gemeentefonds,Algemene uitkering,Bijdrage aan medeoverheden,2021,0,22809415,-100.0,under,8
Sociale Zaken en Werkgelegenheid,DUO,Bijdrage aan agentschappen,2021,0,29685,-100.0,under,8
Gemeentefonds,Decentralisatie-uitkeringen,Bijdrage aan medeoverheden,2023,0,1806805,-100.0,under,5
"Onderwijs, Cultuur en Wetenschap",Rentedragende lening (NR),Leningen,2020,0,2568885,-100.0,under,8
Gemeentefonds,Algemene uitkering,Bijdrage aan medeoverheden,2023,0,20179419,-100.0,under,8
Infrastructuur en Waterstaat,Wet Personenvervoer 2000,Subsidies (regelingen),2022,0,2792,-100.0,under,6
Sociale Zaken en Werkgelegenheid,Uitvoeringskosten SVB,Bijdrage aan ZBOs en RWTs,2020,0,35848,-100.0,under,8
Sociale Zaken en Werkgelegenheid,Uitvoeringskosten UWV,Bijdrage aan ZBOs en RWTs,2022,0,162392,-100.0,under,8
Sociale Zaken en Werkgelegenheid,Uitvoeringskosten SVB,Bijdrage aan ZBOs en RWTs,2022,0,49705,-100.0,under,8
"Onderwijs, Cultuur en Wetenschap",Regionaal programma,Bekostiging,2022,0,30510,-100.0,under,8
Justitie en Veiligheid,CJIB,Bijdrage aan agentschappen,2023,0,105946,-100.0,under,6
Justitie en Veiligheid,Autoriteit Persoonsgegevens,Bijdrage aan ZBOs en RWTs,2023,0,18426,-100.0,under,6
"Onderwijs, Cultuur en Wetenschap",Salarismix Randstadregio's,Bekostiging,2019,0,21146,-100.0,under,7
Justitie en Veiligheid,Brede Doeluitkering Rampenbestrijding,Bijdrage aan medeoverheden,2023,0,119719,-100.0,under,6
Justitie en Veiligheid,Halt,Bijdrage aan ZBOs en RWTs,2023,0,7906,-100.0,under,6
Sociale Zaken en Werkgelegenheid,Uitvoeringskosten UWV,Bijdrage aan ZBOs en RWTs,2020,0,125334,-100.0,under,8
"Onderwijs, Cultuur en Wetenschap",Convenanten met RMC-regio's,Bekostiging,2020,0,4282,-100.0,under,8
Sociale Zaken en Werkgelegenheid,Kennisinfrastructuur,Subsidies (regelingen),2020,0,2745,-100.0,under,8
"Onderwijs, Cultuur en Wetenschap",Bekostiging Caribisch Nederland,Bekostiging,2020,0,13117,-100.0,under,8
"Onderwijs, Cultuur en Wetenschap",Nationaal Agentschap Erasmus+ Onderwijs & Training,Bijdrage aan (inter-)nationale organisaties,2021,0,2073,-100.0,under,8
"Landbouw, Natuur en Voedselkwaliteit",Aanvullende onderwijssubsidies,Subsidies (regelingen),2020,0,1747,-100.0,under,7
"Landbouw, Natuur en Voedselkwaliteit",Aanvullende onderwijssubsidies,Subsidies (regelingen),2021,0,1165,-100.0,under,7
"Landbouw, Natuur en Voedselkwaliteit",Missiegedreven Topsectoren,Subsidies (regelingen),2020,0,25915,-100.0,under,7
"Landbouw, Natuur en Voedselkwaliteit",Missiegedreven Topsectoren,Subsidies (regelingen),2021,0,17277,-100.0,under,7
"Landbouw, Natuur en Voedselkwaliteit",Onderzoeksprogrammering,Subsidies (regelingen),2020,0,19398,-100.0,under,7
"Landbouw, Natuur en Voedselkwaliteit",Onderzoeksprogrammering,Subsidies (regelingen),2021,0,12932,-100.0,under,7
Sociale Zaken en Werkgelegenheid,Overige subsidies,Subsidies (regelingen),2022,0,2924,-100.0,under,7
"Onderwijs, Cultuur en Wetenschap",Bekostiging Caribisch Nederland,Bekostiging,2019,0,19675,-100.0,under,8
"Onderwijs, Cultuur en Wetenschap",Bekostiging flexibel ho voor volwassenen,Bekostiging,2021,0,4743,-100.0,under,8
Koninkrijksrelaties,Grensbewaking (Defensie),Bijdrage aan (andere) begrotingshoofdstukken,2023,0,4337,-100.0,under,8
Sociale Zaken en Werkgelegenheid,Agentschap RIVM,Bijdrage aan agentschappen,2022,0,4786,-100.0,under,7
Sociale Zaken en Werkgelegenheid,Overige subsidies,Subsidies (regelingen),2021,0,4479,-100.0,under,7
"Onderwijs, Cultuur en Wetenschap",Inhaal-en ondersteuningsprogramma's,Subsidies (regelingen),2023,0,97997,-100.0,under,4
"Onderwijs, Cultuur en Wetenschap",Inhaal-en ondersteuningsprogramma's,Subsidies (regelingen),2022,53,146970,-100.0,under,4
Sociale Zaken en Werkgelegenheid,Overige subsidies,Subsidies (regelingen),2020,0,6718,-100.0,under,7
"Onderwijs, Cultuur en Wetenschap",Collegegeldkrediet (NR),Leningen,2020,0,335627,-100.0,under,8
Sociale Zaken en Werkgelegenheid,Financien,Bijdrage aan (andere) begrotingshoofdstukken,2020,0,1034,-100.0,under,8
"Onderwijs, Cultuur en Wetenschap",Gemeentelijk onderwijsachterstandenbeleid,Bijdrage aan medeoverheden,2020,0,88864,-100.0,under,8
"Onderwijs, Cultuur en Wetenschap",Gemeentelijk onderwijsachterstandenbeleid,Bijdrage aan medeoverheden,2019,0,133296,-100.0,under,8
Koninkrijksrelaties,Overige bijstand aan de landen,Bijdrage aan medeoverheden,2023,0,10864,-100.0,under,6
"Onderwijs, Cultuur en Wetenschap",Nationaal Agentschap Erasmus+ Onderwijs & Training,Bijdrage aan (inter-)nationale organisaties,2022,0,2073,-100.0,under,8
Justitie en Veiligheid,Leger des Heils,Bijdrage aan ZBOs en RWTs,2023,0,16373,-100.0,under,6
"Onderwijs, Cultuur en Wetenschap",Onderwijsdeel wo,Bekostiging,2021,0,2291994,-100.0,under,8
Sociale Zaken en Werkgelegenheid,Uitvoeringskosten SVB,Bijdrage aan ZBOs en RWTs,2019,0,53772,-100.0,under,8
Justitie en Veiligheid,Onderzoeksraad voor Veiligheid,Bijdrage aan ZBOs en RWTs,2023,0,11018,-100.0,under,6
"Onderwijs, Cultuur en Wetenschap",Salarismix Randstadregio's,Bekostiging,2020,0,14098,-100.0,under,7
Justitie en Veiligheid,Opsporing,Subsidies (regelingen),2023,0,1554,-100.0,under,6
Justitie en Veiligheid,Politie,Bijdrage aan ZBOs en RWTs,2023,0,4483597,-100.0,under,6
Justitie en Veiligheid,Politie,Bijdrage aan ZBOs en RWTs,2024,-7,4483597,-100.0,under,6
Justitie en Veiligheid,Politieacademie,Bijdrage aan ZBOs en RWTs,2023,0,2095,-100.0,under,6
Justitie en Veiligheid,REAN-regeling,Subsidies (regelingen),2023,0,3464,-100.0,under,6
Justitie en Veiligheid,Reclassering Nederland,Bijdrage aan ZBOs en RWTs,2023,0,109368,-100.0,under,6
Sociale Zaken en Werkgelegenheid,Uitvoeringskosten IB,Bijdrage aan ZBOs en RWTs,2022,0,5833,-100.0,under,8
Koninkrijksrelaties,Grensbewaking (Defensie),Bijdrage aan (andere) begrotingshoofdstukken,2021,0,4146,-100.0,under,8
Justitie en Veiligheid,Regionale Informatie en Expertise Centra,Bijdrage aan medeoverheden,2023,0,7171,-100.0,under,6
"Onderwijs, Cultuur en Wetenschap",Convenanten met RMC-regio's,Bekostiging,2019,0,6424,-100.0,under,8
Justitie en Veiligheid,Stichting Verslavingsreclassering GGZ,Bijdrage aan ZBOs en RWTs,2023,0,53699,-100.0,under,6
Koninkrijksrelaties,Bijdrage landen,Bijdrage aan medeoverheden,2019,0,3399,-100.0,under,8
Sociale Zaken en Werkgelegenheid,Uitvoeringskosten IB,Bijdrage aan ZBOs en RWTs,2020,0,2236,-100.0,under,8
Koninkrijksrelaties,Bijdrage landen,Bijdrage aan medeoverheden,2023,0,7922,-100.0,under,8
Sociale Zaken en Werkgelegenheid,Uitvoeringskosten IB,Bijdrage aan ZBOs en RWTs,2019,0,3354,-100.0,under,8
Koninkrijksrelaties,Grensbewaking (Defensie),Bijdrage aan (andere) begrotingshoofdstukken,2019,0,6100,-100.0,under,8
"Onderwijs, Cultuur en Wetenschap",Nationaal Agentschap Erasmus+ Onderwijs & Training,Bijdrage aan (inter-)nationale organisaties,2023,0,1051,-100.0,under,8
Koninkrijksrelaties,Bijdrage landen,Bijdrage aan medeoverheden,2021,0,1921,-100.0,under,8
BES-fonds,Vrije uitkering,Bijdrage aan medeoverheden,2021,0,44890,-100.0,under,7
Financiën,Muntcirculatie,Bekostiging,2022,0,2083,-100.0,under,8
Economische Zaken en Klimaat,Bijdrage aan NWO-TTW,Bijdrage aan ZBOs en RWTs,2021,0,26840,-100.0,under,6
Buitenlandse Zaken,OVSE,Bijdrage aan (inter-)nationale organisaties,2019,0,5464,-100.0,under,8
Buitenlandse Zaken,OVSE,Bijdrage aan (inter-)nationale organisaties,2020,0,3643,-100.0,under,8
Buitenlandse Zaken,Raad van Europa,Bijdrage aan (inter-)nationale organisaties,2019,0,9881,-100.0,under,7
Buitenlandse Zaken,Raad van Europa,Bijdrage aan (inter-)nationale organisaties,2020,0,6587,-100.0,under,7
Buitenlandse Zaken,Subsidieregeling BZ 2006,Subsidies (regelingen),2021,0,58657,-100.0,under,7
Buitenlandse Zaken,Subsidieregeling BZ 2006,Subsidies (regelingen),2022,0,39454,-100.0,under,7
Buitenlandse Zaken,VN-contributie voor crisisbeheersingsoperaties,Bijdrage aan (inter-)nationale organisaties,2019,0,83148,-100.0,under,8
Buitenlandse Zaken,VN-contributie voor crisisbeheersingsoperaties,Bijdrage aan (inter-)nationale organisaties,2020,0,55432,-100.0,under,8
Buitenlandse Zaken,Veiligheidsfonds,Bijdrage aan (inter-)nationale organisaties,2019,0,1200,-100.0,under,8
Buitenlandse Zaken,Verenigde Naties,Bijdrage aan (inter-)nationale organisaties,2019,0,33961,-100.0,under,8
Buitenlandse Zaken,Verenigde Naties,Bijdrage aan (inter-)nationale organisaties,2020,0,22641,-100.0,under,8
Economische Zaken en Klimaat,Bijdrage Metrologie,Bijdrage aan ZBOs en RWTs,2021,0,10100,-100.0,under,6
Economische Zaken en Klimaat,Bijdrage aan ACM,Bijdrage aan ZBOs en RWTs,2024,15,721480,-100.0,under,5
Economische Zaken en Klimaat,Bijdrage aan NWO-TTW,Bijdrage aan ZBOs en RWTs,2022,0,17893,-100.0,under,6
Buitenlandse Zaken,OESO,Bijdrage aan (inter-)nationale organisaties,2020,0,4438,-100.0,under,8
Economische Zaken en Klimaat,Bijdrage aan TNO,Bijdrage aan ZBOs en RWTs,2022,0,195650,-100.0,under,6
Economische Zaken en Klimaat,Co-FIN ERA-NET Energiecall,Subsidies (regelingen),2021,0,2178,-100.0,under,6
Economische Zaken en Klimaat,EUROSTARS,Subsidies (regelingen),2021,0,16916,-100.0,under,6
Economische Zaken en Klimaat,Economische ontwikkeling en technologie,Bijdrage aan (inter-)nationale organisaties,2023,0,5006,-100.0,under,5
Economische Zaken en Klimaat,European Space Agency,Bijdrage aan (inter-)nationale organisaties,2021,0,82466,-100.0,under,6
Economische Zaken en Klimaat,INTERNATIONAAL_INNOVEREN,Bijdrage aan (inter-)nationale organisaties,2021,0,36566,-100.0,under,6
Economische Zaken en Klimaat,INTERREG Incidentele Subsidies,Subsidies (regelingen),2021,0,1820,-100.0,under,6
Economische Zaken en Klimaat,Innovatieregeling Demonstratieprojecten,Subsidies (regelingen),2021,0,41645,-100.0,under,6
Economische Zaken en Klimaat,Invest-NL,Subsidies (regelingen),2021,0,4488,-100.0,under,6
Economische Zaken en Klimaat,MJA FAC. EZ PROFIT,Subsidies (regelingen),2021,0,1318,-100.0,under,6
Economische Zaken en Klimaat,MKB Idee,Subsidies (regelingen),2021,0,3800,-100.0,under,6
Economische Zaken en Klimaat,MKB Innovatiestimulering Topsectoren,Subsidies (regelingen),2021,0,9280,-100.0,under,5
Economische Zaken en Klimaat,Programmatische Samenwerkingsverbanden,Bijdrage aan (inter-)nationale organisaties,2021,0,13724,-100.0,under,6
Buitenlandse Zaken,OPCW en andere ontwapeningsorganisaties,Bijdrage aan (inter-)nationale organisaties,2019,0,1230,-100.0,under,8
Buitenlandse Zaken,OESO,Bijdrage aan (inter-)nationale organisaties,2019,0,6657,-100.0,under,8
Economische Zaken en Klimaat,Stimuleringsregeling Duurzame Energieproductie,Subsidies (regelingen),2022,0,1180970,-100.0,under,5
Buitenlandse Zaken,Contra-terrorisme,Bijdrage aan (inter-)nationale organisaties,2019,0,4215,-100.0,under,8
Binnenlandse Zaken en Koninkrijksrelaties,Bouwregelgeving en bouwkwaliteit,Subsidies (regelingen),2022,0,8546,-100.0,under,5
Binnenlandse Zaken en Koninkrijksrelaties,Energiebesparing Koopsector,Subsidies (regelingen),2020,0,5339,-100.0,under,6
Binnenlandse Zaken en Koninkrijksrelaties,RVB (Bijdr monument),Bijdrage aan agentschappen,2021,0,3840,-100.0,under,5
Binnenlandse Zaken en Koninkrijksrelaties,RVB (Bijdr voor AZ),Bijdrage aan agentschappen,2021,0,2469,-100.0,under,5
Binnenlandse Zaken en Koninkrijksrelaties,RVO,Bijdrage aan agentschappen,2019,0,4804,-100.0,under,7
Binnenlandse Zaken en Koninkrijksrelaties,RVO,Bijdrage aan agentschappen,2020,0,3202,-100.0,under,7
Binnenlandse Zaken en Koninkrijksrelaties,RVO,Bijdrage aan agentschappen,2021,0,3191,-100.0,under,7
Binnenlandse Zaken en Koninkrijksrelaties,RWS,Bijdrage aan agentschappen,2020,0,3724,-100.0,under,6
Binnenlandse Zaken en Koninkrijksrelaties,SAIP,Bijdrage aan ZBOs en RWTs,2021,0,8241,-100.0,under,5
Buitenlandse Zaken,Benelux bijdrage,Bijdrage aan (inter-)nationale organisaties,2019,0,3922,-100.0,under,7
Buitenlandse Zaken,Benelux bijdrage,Bijdrage aan (inter-)nationale organisaties,2020,0,2614,-100.0,under,7
Buitenlandse Zaken,CTBTO,Bijdrage aan (inter-)nationale organisaties,2019,0,1608,-100.0,under,8
Buitenlandse Zaken,CTBTO,Bijdrage aan (inter-)nationale organisaties,2020,0,1072,-100.0,under,8
Buitenlandse Zaken,Contra-terrorisme,Bijdrage aan (inter-)nationale organisaties,2020,0,2810,-100.0,under,8
Buitenlandse Zaken,NAVO,Bijdrage aan (inter-)nationale organisaties,2020,0,6424,-100.0,under,8
Buitenlandse Zaken,Europees Ontwikkelingsfonds,Bijdrage aan (inter-)nationale organisaties,2019,0,203366,-100.0,under,6
Buitenlandse Zaken,Europees Ontwikkelingsfonds,Bijdrage aan (inter-)nationale organisaties,2020,0,135577,-100.0,under,6
Buitenlandse Zaken,IAEA,Bijdrage aan (inter-)nationale organisaties,2019,0,6848,-100.0,under,8
Buitenlandse Zaken,IAEA,Bijdrage aan (inter-)nationale organisaties,2020,0,4565,-100.0,under,8
Buitenlandse Zaken,Internationaal Strafhof,Bijdrage aan (inter-)nationale organisaties,2019,0,2924,-100.0,under,8
Buitenlandse Zaken,Internationaal Strafhof,Bijdrage aan (inter-)nationale organisaties,2020,0,1950,-100.0,under,8
Buitenlandse Zaken,Internationaal recht,Bijdrage aan (inter-)nationale organisaties,2019,0,2914,-100.0,under,8
Buitenlandse Zaken,Internationaal recht,Bijdrage aan (inter-)nationale organisaties,2020,0,1943,-100.0,under,8
Buitenlandse Zaken,Internationaal recht,Bijdrage aan (inter-)nationale organisaties,2021,0,1414,-100.0,under,8
Buitenlandse Zaken,Invoerrechten,Bijdrage aan (inter-)nationale organisaties,2020,0,3217786,-100.0,under,5
Buitenlandse Zaken,Mensenrechtenfonds 2017- 2020,Subsidies (regelingen),2021,0,2327,-100.0,under,7
Buitenlandse Zaken,Mensenrechtenfonds 2017- 2020,Subsidies (regelingen),2022,0,2327,-100.0,under,7
Buitenlandse Zaken,NAVO,Bijdrage aan (inter-)nationale organisaties,2019,0,9636,-100.0,under,8
Economische Zaken en Klimaat,Programmatische Samenwerkingsverbanden,Subsidies (regelingen),2021,0,8464,-100.0,under,6
Justitie en Veiligheid,DJI - jeugd,Bijdrage aan agentschappen,2023,0,121491,-100.0,under,6
Economische Zaken en Klimaat,Topconsortia voor Kennis en Innovatie,Bijdrage aan (inter-)nationale organisaties,2021,0,121396,-100.0,under,6
Economische Zaken en Klimaat,Subsidieregeling Duurzame Scheepsbouw,Subsidies (regelingen),2021,0,1470,-100.0,under,5
Economische Zaken en Klimaat,Versnelde klimaatinvestingen in de industrie,Subsidies (regelingen),2021,0,5010,-100.0,under,6
Financiën,Muntcirculatie,Bekostiging,2020,0,4544,-100.0,under,8
Financiën,Kamer van Koophandel,Bijdrage aan ZBOs en RWTs,2021,0,2071,-100.0,under,6
Economische Zaken en Klimaat,Uitkering aankoop woningen onder hoogspanningsverb,Bijdrage aan medeoverheden,2021,0,12494,-100.0,under,6
Economische Zaken en Klimaat,Topsector Energie,Subsidies (regelingen),2021,0,64380,-100.0,under,7
Justitie en Veiligheid,Politieacademie,Bijdrage aan ZBOs en RWTs,2024,3,2095,-99.9,under,6
Defensiematerieelbegrotingsfonds,Technologieontwikkeling,Bekostiging,2024,35,32456,-99.9,under,4
Defensie,Kennisopbouw TNO via EZ,Bijdrage aan (andere) begrotingshoofdstukken,2024,81,75755,-99.9,under,5
"Onderwijs, Cultuur en Wetenschap",Scholenprogramma Groningen,Bijdrage aan medeoverheden,2023,5994,2999,99.9,over,4
Defensie,Kennisopbouw MARIN via EZ,Bijdrage aan (andere) begrotingshoofdstukken,2024,4,3797,-99.9,under,5
"Onderwijs, Cultuur en Wetenschap",Dienst Uitvoering Onderwijs (DUO)-programma,Bijdrage aan agentschappen,2021,74,50956,-99.9,under,4
Defensie,Kennisopbouw NLR via EZ,Bijdrage aan (andere) begrotingshoofdstukken,2024,4,5512,-99.9,under,5
"Onderwijs, Cultuur en Wetenschap",Regionaal Programma,Bijdrage aan medeoverheden,2023,38350,19197,99.8,over,7
Economische Zaken en Klimaat,Tijdelijke Regeling Subsidie Evenementen Covid-19,Subsidies (regelingen),2024,121,60478,-99.8,under,4
Justitie en Veiligheid,Reclassering Nederland,Bijdrage aan ZBOs en RWTs,2024,188,109368,-99.8,under,6
Justitie en Veiligheid,CJIB,Bijdrage aan agentschappen,2024,216,105946,-99.8,under,6
Justitie en Veiligheid,Bureau Financieel Toezicht,Bijdrage aan ZBOs en RWTs,2024,11,5560,-99.8,under,6
"Onderwijs, Cultuur en Wetenschap",Nationaal Archief (NA)-programma,Bijdrage aan agentschappen,2022,20,9870,-99.8,under,6
Justitie en Veiligheid,Stichting Verslavingsreclassering GGZ,Bijdrage aan ZBOs en RWTs,2024,89,53699,-99.8,under,6
Justitie en Veiligheid,Opsporing,Subsidies (regelingen),2024,3,1554,-99.8,under,6
Buitenlandse Zaken,Stabiliteitsfonds,Bijdrage aan (inter-)nationale organisaties,2023,108122,54112,99.8,over,4
Justitie en Veiligheid,Leger des Heils,Bijdrage aan ZBOs en RWTs,2024,28,16373,-99.8,under,6
Justitie en Veiligheid,Autoriteit Persoonsgegevens,Bijdrage aan ZBOs en RWTs,2024,46,18426,-99.8,under,6
Koninkrijksrelaties,Grensbewaking (Defensie),Bijdrage aan (andere) begrotingshoofdstukken,2024,7,2224,-99.7,under,8
Economische Zaken en Klimaat,Groeifaciliteit,Garanties,2021,15,3618,-99.6,under,6
Economische Zaken en Klimaat,Economische ontwikkeling en technologie,Bijdrage aan (inter-)nationale organisaties,2024,21,4312,-99.5,under,5
"Onderwijs, Cultuur en Wetenschap",Convenanten met RMC-regio's,Bekostiging,2024,99,14348,-99.3,under,8
Financiën,Overige internationale organisaties,Bijdrage aan (inter-)nationale organisaties,2022,23,2737,-99.2,under,5
"Landbouw, Natuur en Voedselkwaliteit",Subsidieregeling sanering Varkenshouderijen,Subsidies (regelingen),2024,769,81554,-99.1,under,5
"Landbouw, Natuur en Voedselkwaliteit",Nadeelcompensatie Pelsdierhouderijen,Subsidies (regelingen),2024,444,47397,-99.1,under,4
Justitie en Veiligheid,Dienst Justis,Bijdrage aan agentschappen,2024,36,3659,-99.0,under,6
Defensie,Bekostiging diverse instellingen,Bekostiging,2024,105,7906,-98.7,under,5
"Onderwijs, Cultuur en Wetenschap",Poolonderzoek,Bekostiging,2023,6294,3170,98.5,over,8
"Onderwijs, Cultuur en Wetenschap",NWO Talentenontwikkeling,Bekostiging,2023,331770,167110,98.5,over,8
"Onderwijs, Cultuur en Wetenschap",NWO STT,Bekostiging,2023,16000,8059,98.5,over,4
"Onderwijs, Cultuur en Wetenschap",NWO Grootschalige researchinfrastructuur,Bekostiging,2023,110760,55789,98.5,over,8
"Onderwijs, Cultuur en Wetenschap",Kust en zeeonderzoek,Bekostiging,2023,5000,2518,98.5,over,7
Economische Zaken en Klimaat,Stimuleringsregeling Duurzame Energieproductie,Subsidies (regelingen),2023,12114,787313,-98.5,under,5
"Landbouw, Natuur en Voedselkwaliteit",Ongedekte Vaste Kosten regeling COVID-19,Subsidies (regelingen),2024,752,43352,-98.3,under,4
"Landbouw, Natuur en Voedselkwaliteit",Nadeelcompensatie Pelsdierhouderijen,Subsidies (regelingen),2023,1190,70501,-98.3,under,4
Koninkrijksrelaties,Bijdrage landen,Bijdrage aan medeoverheden,2024,120,6795,-98.2,under,8
Economische Zaken en Klimaat,Green Deals,Subsidies (regelingen),2021,25,1374,-98.2,under,4
Defensie,Subsidies,Subsidies (regelingen),2024,1116,48522,-97.7,under,5
Financiën,Bijdrage Logius,Bijdrage aan agentschappen,2024,1265,49261,-97.4,under,6
Economische Zaken en Klimaat,Regeling subsidie financiering vaste lasten MKB COVID-19,Subsidies (regelingen),2024,37007,1320044,-97.2,under,5
Binnenlandse Zaken en Koninkrijksrelaties,Geo-informatie,Bijdrage aan ZBOs en RWTs,2023,148,5029,-97.1,under,6
Binnenlandse Zaken en Koninkrijksrelaties,RWS (leefomgeving),Bijdrage aan agentschappen,2023,11946,6063,97.0,over,5
Justitie en Veiligheid,REAN-regeling,Subsidies (regelingen),2021,5461,2774,96.9,over,6
Binnenlandse Zaken en Koninkrijksrelaties,Diverse bijdragen,Bijdrage aan medeoverheden,2022,39,1231,-96.8,under,5
Binnenlandse Zaken en Koninkrijksrelaties,Diverse bijdragen,Bijdrage aan (andere) begrotingshoofdstukken,2021,44,1279,-96.6,under,4
