kvk_number,company_name,registration_date,insolvency_date,days_to_insolvency,sbi_codes,postcode,address,city,insolventienummer
75102811,Saillant NL Holding B.V.,2025-09-06,2026-01-07,123,70102,6202NT,Postbus 3759,Maastricht,F.03/26/6
58931899,Saillant Hotel Maastricht B.V.,2025-09-06,2026-01-07,123,"55101,56111",6211LE,Vrijthof 31,Maastricht,F.03/26/4
81688563,N-Ray B.V.,2025-09-06,2026-01-07,123,"46382,46499,47279,47789",1055XB,Charlotte de Bourbonstraat 70,Amsterdam,F.09/26/2
73715468,Nebru B.V.,2025-09-06,2026-01-07,123,"16230,41000",6413XV,Scheldestraat 9,Heerlen,F.03/26/12
53286928,Energievan... B.V.,2025-09-06,2026-01-07,123,"62200,64999",3833LD,Fokkerstraat 12,Leusden,F.18/26/2
91819601,Liseco B.V.,2025-09-06,2026-01-07,123,"41000,43410,43990",6243AH,Hussenbergstraat 8,Geulle,F.03/26/11
89874730,Zetetys Group B.V.,2025-09-06,2026-01-07,123,70102,1114AK,Ellermanstraat 15,Amsterdam-Duivendrecht,F.13/26/3
67270662,VL Mailservice B.V.,2025-09-06,2026-01-07,123,53201,2721KW,Zernikestraat 26,Zoetermeer,F.09/26/4
80794823,Kees Totaalonderhoud B.V.,2025-09-06,2026-01-07,123,"41000,43330,43340",4941SE,Brasem 31,Raamsdonksveer,F.02/26/1
56268378,FNC Trade B.V.,2025-09-06,2026-01-07,123,"46311,46390,52310",3072AP,Wilhelminakade 173,Rotterdam,F.10/26/3
81556462,Unbrick Real Estate Ede B.V.,2025-09-06,2026-01-07,123,68203,1251PA,Barbiersweg 17,Laren,F.05/26/7
73411248,Ströer Psychotherapie B.V.,2025-09-06,2026-01-07,123,86930,2105MG,Herenweg 133,Heemstede,F.15/26/1
70735336,Saillant Hotel Valkenburg B.V.,2025-09-06,2026-01-07,123,55101,6271AA,Oude Rijksweg 20,Gulpen,F.03/26/5
85863335,Blue Identity B.V.,2025-09-06,2026-01-07,123,"62200,70201,78202,85591",5232BX,Reitscheweg 1,'s-Hertogenbosch,F.01/26/2
56363338,Hotel Kasteel Doenrade B.V.,2025-09-06,2026-01-07,123,55101,6439BE,Limpensweg 20,Doenrade,F.03/26/8
71197575,Van Leen Facilities B.V.,2025-09-06,2026-01-07,123,69209,2721KW,Zernikestraat 26,Zoetermeer,F.09/26/3
24468000,Walldoc B.V.,2025-09-06,2026-01-07,123,70102,3284AW,van Oldenbarneveltstraat 35,Zuid-Beijerland,F.10/26/7
96340967,Beauty 642 Salons B.V.,2025-09-06,2026-01-07,123,"85591,96220",1531BW,Carré 4,Wormer,F.15/26/3
83345957,Unbrick Leisure Development B.V.,2025-09-06,2026-01-07,123,"64210,70101",1251PA,Barbiersweg 17,Laren,F.05/26/6
64822885,Saillant Hotel Brull B.V.,2025-09-06,2026-01-07,123,"55101,78202",6281BD,Hoofdstraat 26,Mechelen,F.03/26/3
54681839,CTW Logistics B.V.,2025-09-06,2026-01-07,123,"46190,47789,49410",6413AR,Bokstraat 27,Heerlen,F.03/26/9
80045847,Start Zend B.V.,2025-09-06,2026-01-07,123,"78100,78202,88999",3047AC,Corkstraat 46,Rotterdam,F.01/26/3
92662889,Uw Dak B.V.,2025-09-06,2026-01-07,123,"16250,43410",3511BR,St.-Jacobsstraat 6,Utrecht,F.13/26/4
85336157,Sultan Transport B.V.,2025-09-06,2026-01-07,123,53202,8031ES,Burgemeester Roelenweg 23,Zwolle,F.08/26/3
81761643,Winst Partners Holding B.V.,2025-09-06,2026-01-07,123,64210,3814WS,Ringweg-Kruiskamp 104,Amersfoort,F.16/26/1
71938877,Yared Transport V.O.F,2025-09-06,2026-01-07,123,49410,6828KP,Boulevard Heuvelink 8,Arnhem,F.05/26/2
87037610,BIM Services B.V.,2025-09-06,2026-01-07,123,"71120,78202",1951EJ,Wijkerstraatweg 90,Velsen-Noord,F.15/26/6
84823186,INTENSE Gietvloeren B.V.,2025-09-06,2026-01-08,124,"43330,46190,74990",7608CD,De Wiersse 35,Almelo,F.08/26/7
80045847,Start Zend B.V.,2025-09-06,2026-01-08,124,"78100,78202,88999",3047AC,Corkstraat 46,Rotterdam,F.10/26/8
05045965,Vynova AO Maastricht B.V.,2025-09-06,2026-01-08,124,20590,6222NL,Ankerkade 111, Maastricht,S.03/26/1
61684716,Markant Nederland B.V.,2025-09-06,2026-01-08,124,"31000,46471,46499",3992AD,Elzenkade 1,Houten,F.16/26/2
90440412,Impact Factoring I B.V.,2025-09-06,2026-01-08,124,"64922,66199,82910",3992AE,Meidoornkade 12,Houten,S.16/26/1
06054213,Kaleidoscope Nederland B.V.,2025-09-06,2026-01-09,125,"18124,46862",7600AG,Postbus 276,Almelo,F.08/26/12
94676941,The Vegan House B.V.,2025-09-06,2026-01-09,125,56112,6221EG,Rechtstraat 33,Maastricht,F.03/26/13
06080683,Kaleidoscope Holding B.V.,2025-09-06,2026-01-09,125,64210,7600AG,Postbus 276,Almelo,F.08/26/11
81761643,Winst Partners Holding B.V.,2025-09-06,2026-01-12,128,64210,3814WS,Ringweg-Kruiskamp 104,Amersfoort,F.15/26/8
89921062,Mooi bloemen en planten H.I.A. B.V.,2025-09-06,2026-01-12,128,47761,3343RC,Louwersplein 43,Hendrik-Ido-Ambacht,F.10/26/10
92662889,Uw Dak B.V.,2025-09-06,2026-01-12,128,"16250,43410",3511BR,St.-Jacobsstraat 6,Utrecht,F.15/26/7
37074598,Altach B.V.,2025-09-06,2026-01-14,130,"31000,43330,46836,46838",1746CM,Cornelis de Vriesweg 51,Dirkshorn,F.15/26/12
64818527,Het Uitzend Domein B.V.,2025-09-06,2026-01-14,130,"70201,78100,78201,78202",3702AC,Utrechtseweg 131,Zeist,F.16/26/8
83857613,Young Security B.V.,2025-09-06,2026-01-14,130,"80010,80090",8919AA,Mr. P.J. Troelstraweg 147,Leeuwarden,F.18/26/5
24396875,SDW Leerwerkbedrijf B.V.,2025-09-06,2026-01-14,130,"43212,78202,84123",,,,F.10/26/13
56919794,Food Cabinet B.V.,2025-09-06,2026-01-14,130,70201,1053AP,Agatha Dekenstraat 4,Amsterdam,F.13/26/11
95749438,Within the Family B.V.,2025-09-06,2026-01-14,130,86999,8226DA,Poolzeestraat 9,Lelystad,F.16/26/21
80257631,Lokaal Harlingen B.V.,2025-09-06,2026-01-14,130,"56111,56112",8861EX,Rozengracht 31,Harlingen,F.18/26/11
30172559,De Impuls voor de Zorg B.V.,2025-09-06,2026-01-14,130,"70201,78100,78202,85591",3702AC,Utrechtseweg 131,Zeist,F.16/26/6
71518401,Marcel van der Spek transport B.V.,2025-09-06,2026-01-14,130,49410,3417AB,Boslaan 20,Montfoort,F.16/26/11
30056643,Jongerius Onroerend Goed B.V.,2025-09-06,2026-01-14,130,68110,3992LM,Utrechtseweg 19,Houten,F.16/26/9
37136592,Goud Team B.V.,2025-09-06,2026-01-14,130,"78100,78201,81210",1951GR,Grote Hout- of Koningsweg 225,Velsen-Noord,F.15/26/10
22052690,Printemps Riva B.V.,2025-09-06,2026-01-14,130,"46421,47713,47721",4524CZ,Kapellestraat 26,Sluis,F.02/26/2
72108819,Noflik Noord B.V.,2025-09-06,2026-01-14,130,"47120,85522",8500AA,Postbus 4,Joure,F.18/26/8
87832070,Küchentreff Drechtsteden B.V.,2025-09-06,2026-01-14,130,47554,3355PP,Kattestaart 18,Papendrecht,F.10/26/11
67294014,Thierry Holding B.V.,2025-09-06,2026-01-14,130,70102,4754AB,J.F. Vlekkeplein 5,Stampersgat,F.02/26/5
86171941,Onderneming in boekhoudingen en administraties Flevoland B.V.,2025-09-06,2026-01-14,130,70201,1314BE,Randstad 21 31,Almere,F.16/26/20
24270464,De Bloemenreus B.V.,2025-09-06,2026-01-14,130,47761,3262AE,Havendam 22,Oud-Beijerland,F.10/26/12
86879618,Robustiek Wonen B.V.,2025-09-06,2026-01-14,130,"47551,74990",1276LN,Huizermaatweg 600,Huizen,F.16/26/19
93836147,First Change B.V.,2025-09-06,2026-01-14,130,86942,4537AK,Axelsestraat 16,Terneuzen,F.02/26/3
76084434,24uurs zorg service B.V.,2025-09-06,2026-01-14,130,86942,6212NA,Lage Kanaaldijk 115,Maastricht,F.03/26/18
64816109,Human Holding B.V.,2025-09-06,2026-01-14,130,64210,3702AA,Utrechtseweg 75,Zeist,F.16/26/3
87156040,Prevention Group B.V.,2025-09-06,2026-01-14,130,86999,1822BK,Marterkoog 7,Alkmaar,F.15/26/13
75022036,AYAVAYA B.V.,2025-09-06,2026-01-14,130,"70202,74990",2582ED,Willem de Zwijgerlaan 1,'s-Gravenhage,F.09/26/6
84396539,Banh Mi Deli Amsterdam B.V.,2025-09-06,2026-01-14,130,47241,1016HA,Prinsengracht 172,Amsterdam,F.13/26/13
88673685,oud en nieuw bouw schilder,2025-09-06,2026-01-14,130,"41000,43340",1363TP,Hermesstraat 10,Almere,F.16/26/15
75224372,De S.e.T. Residentie B.V.,2025-09-06,2026-01-14,130,55900,3641AE,Bozenhoven 157,Mijdrecht,F.16/26/14
67094511,Alpha Climate Services B.V.,2025-09-06,2026-01-14,130,43222,3194DH,Koddeweg 11,Hoogvliet Rotterdam,F.10/26/14
71518207,Marcel van der Spek logistiek B.V.,2025-09-06,2026-01-14,130,52242,3417AB,Boslaan 20,Montfoort,F.16/26/10
72785934,Het Onderwijs Domein B.V.,2025-09-06,2026-01-14,130,"62900,78201,85591",3702AA,Utrechtseweg 75,Zeist,F.16/26/7
90667840,TSU Pies Leiden B.V.,2025-09-06,2026-01-14,130,56112,2311EM,Botermarkt 5,Leiden,F.09/26/9
34298012,Autopoetscentrum Amsterdam B.V.,2025-09-06,2026-01-14,130,"47810,77111,95316",1101AW,Lemelerbergweg 60,Amsterdam,F.13/26/12
80536190,Level Finance B.V.,2025-09-06,2026-01-14,130,"70201,78100,78202",6422RK,Vogt 21,Heerlen,F.03/26/19
33165846,N.I.B. Nationaal Incasso Bureau B.V.,2025-09-06,2026-01-14,130,"69102,82910",1440AR,Postbus 650,Purmerend,F.15/26/14
69096899,TR Horeca Markt B.V.,2025-09-06,2026-01-14,130,56111,5701RK,Markt 26,Helmond,F.01/26/4
67972632,Mvo Holding B.V.,2025-09-06,2026-01-14,130,64210,3702AC,Utrechtseweg 131,Zeist,F.16/26/4
75320312,Festivaals B.V.,2025-09-06,2026-01-14,130,"46471,68120,68203",6291AT,von Clermontplein 15,Vaals,F.03/26/14
85519308,ROSTIG B.V.,2025-09-06,2026-01-14,130,"47789,55300",6522EW,Jan van Goyenstraat 36,Nijmegen,S.16/26/2
71509984,Marcel van der Spek groep B.V.,2025-09-06,2026-01-14,130,64210,3417AB,Boslaan 20,Montfoort,F.16/26/12
85519308,ROSTIG B.V.,2025-09-06,2026-01-14,130,"47789,55300",6522EW,Jan van Goyenstraat 36,Nijmegen,S.05/26/1
95117717,Biernet Distributie B.V.,2025-09-06,2026-01-14,130,"46340,49410,52242,52310",6413NR,De Weggebekker 28,Heerlen,F.03/26/16
82468575,Huboo Technologies B.V.,2025-09-06,2026-01-14,130,74990,,"45 Fitzroy Street, 4th Floor, Silve",Groot-Brittannië,F.01/26/5
84732970,Service 4 You B.V.,2025-09-06,2026-01-14,130,"01610,43120,49410,68110",6071JD,Markt 19,Swalmen,F.03/26/15
64818403,Hoom Beheer B.V.,2025-09-06,2026-01-14,130,64210,3702AC,Utrechtseweg 131,Zeist,F.16/26/5
83632174,Residential Living B.V.,2025-09-06,2026-01-14,130,31000,,,,F.18/26/7
64329887,Polygoot B.V.,2025-09-06,2026-01-14,130,22240,9281NX,De Wide Pet 10,Harkema,F.18/26/10
82903115,Tithiddes B.V.,2025-09-06,2026-01-14,130,56112,3543AJ,Proostwetering 80,Utrecht,F.16/26/13
78523036,TokenMe B.V.,2025-09-06,2026-01-15,131,"26110,71120",2516AH,Saturnusstraat 60,'s-Gravenhage,F.09/26/10
83632174,Residential Living B.V.,2025-09-06,2026-01-15,131,31000,,,,F.15/26/16
05050630,Form International B.V.,2025-09-06,2026-01-15,131,02400,8017JD,Hanzeplein 11,Zwolle,S.05/26/2
28101602,Luiken-Karstens Loyaliteitscommunicatie B.V.,2025-09-06,2026-01-15,131,73110,2592RV,Smaragdhorst 192,'s-Gravenhage,F.09/26/7
08133013,T.A.R. Activa B.V.,2025-09-06,2026-01-15,131,55201,7475NS,Veldweg 4,Markelo,F.08/26/14
08133013,T.A.R. Activa B.V.,2025-09-06,2026-01-16,132,55201,7475NS,Veldweg 4,Markelo,F.05/26/12
05050630,Form International B.V.,2025-09-06,2026-01-19,135,02400,8017JD,Hanzeplein 11,Zwolle,F.08/26/15
69078025,A2 Koi B.V.,2025-09-06,2026-01-20,136,"43320,46232,47762,81301",5331PK,Bulkseweg 22,Kerkdriel,F.05/26/13
69083258,Dupatech B.V.,2025-09-06,2026-01-20,136,"33121,46630,78202",8102HZ,Kotterstraat 14,Raalte,F.08/26/17
71335056,Gravaa Production B.V.,2025-09-06,2026-01-21,137,"30920,74110,77400",5633AC,Esp 252,Eindhoven,F.01/26/7
81105584,L. Dekker Beheer B.V.,2025-09-06,2026-01-21,137,70102,4471RN,Zuiderlandweg 2,Wolphaartsdijk,F.02/26/8
70490503,Sterrk Detachering B.V.,2025-09-06,2026-01-21,137,"62200,62900,78100,78202",1076CT,Amstelveenseweg 390,Amsterdam,F.13/26/14
18059352,Autoschade Center Tilburg ACT B.V.,2025-09-06,2026-01-21,137,"95314,95315",5049BL,Mascagnistraat 533,Tilburg,F.02/26/16
67357326,Fairwind B.V.,2025-09-06,2026-01-21,137,"30920,47631,95290",1601EZ,Voorland 5,Enkhuizen,F.15/26/17
92899382,'t Krut B.V.,2025-09-06,2026-01-21,137,"11050,47250,56300",5691AB,Nieuwstraat 45,Son en Breugel,F.01/26/11
78207975,Gravaa B.V.,2025-09-06,2026-01-21,137,72100,5633AC,Esp 252,Eindhoven,F.01/26/6
01107588,Bouwbedrijf Blokzijl B.V.,2025-09-06,2026-01-21,137,41000,9697NR,Hoofdweg 154,Blijham,F.18/26/12
94259216,Azka Design B.V.,2025-09-06,2026-01-21,137,46471,4705AG,Schotsbossenstraat 2,Roosendaal,F.02/26/12
93261233,Bouwbedrijf ATLAS B.V.,2025-09-06,2026-01-21,137,"41000,78100,78201,78202",2391BD,Ambachtsplein 16,Hazerswoude-Dorp,F.09/26/11
74822713,Bop Pro B.V.,2025-09-06,2026-01-21,137,"71120,78202",2993LM,Stockholm 25,Barendrecht,F.10/26/17
75708434,Ritos Den Haag B.V.,2025-09-06,2026-01-21,137,56111,2511EC,Korte Poten 63,'s-Gravenhage,F.09/26/14
77060296,TLM-Transport B.V.,2025-09-06,2026-01-21,137,49410,,"Mulheim 1, 3650 Dilsen-Stokkem",België,F.03/26/20
65779231,House of Nutrition B.V.,2025-09-06,2026-01-21,137,"46382,47272,47633",1109BK,Lange Stammerdijk 3,Amsterdam,F.16/26/24
82807876,Doleweerd B.V.,2025-09-06,2026-01-21,137,"46491,46730,47631",5349BX,Saksenweg 30,Oss,F.01/26/10
93195354,Horeca Groep Limburg B.V.,2025-09-06,2026-01-21,137,"56111,56300,64210",6417EP,Van Weerden Poelmanstraat 78,Heerlen,F.16/26/26
67204864,RLX B.V.,2025-09-06,2026-01-21,137,"41000,46492,46839,85510",2900AN,Postbus 577,Capelle aan den IJssel,F.02/26/11
50268686,Van Gestel Autoschade B.V.,2025-09-06,2026-01-21,137,"95314,95315",4817ZR,Oude Leijstraat 7,Breda,F.02/26/14
88467139,Horti Energy B.V.,2025-09-06,2026-01-21,137,71120,2596AL,Zuid-Hollandlaan 7,'s-Gravenhage,F.09/26/13
81113668,ZLND Fresh B.V.,2025-09-06,2026-01-21,137,46311,4338PM,Kleverskerkseweg 12,Middelburg,F.02/26/6
78644895,transport service Bavel/Breda TSB B.V.,2025-09-06,2026-01-21,137,49410,4854BG,Geestland 20,Bavel,F.02/26/10
96937033,Fruit Express B.V.,2025-09-06,2026-01-21,137,47210,4338PM,Kleverskerkseweg 12,Middelburg,F.02/26/7
67534139,Tuin Totaal Gelderland B.V.,2025-09-06,2026-01-21,137,81301,6861WK,Dreyenseweg 21,Oosterbeek,F.05/26/18
83828680,Design & Finish B.V.,2025-09-06,2026-01-21,137,"31000,41000,47789",2514HG,Mauritskade 57,'s-Gravenhage,F.13/26/16
70846820,HubTech B.V.,2025-09-06,2026-01-21,137,72100,5633AC,Esp 252,Eindhoven,F.01/26/8
75743280,M.J. Café B.V.,2025-09-06,2026-01-21,137,56111,8242KH,Schoonzicht 224,Lelystad,F.16/26/29
69427615,Inicare B.V.,2025-09-06,2026-01-21,137,"32502,62100",5616BA,Lodewijk Napoleonplein 47,Eindhoven,F.01/26/9
95652280,Sasta B.V.,2025-09-06,2026-01-21,137,"26200,62100",5503LT,De Run 4545,Veldhoven,F.01/26/14
93231857,Elling Personenvervoer B.V.,2025-09-06,2026-01-21,137,49330,9448XA,Marwijksoord 25,Marwijksoord,F.18/26/14
94259690,Serena Design B.V.,2025-09-06,2026-01-21,137,"46471,47761,69203,69209",4705AG,Schotsbossenstraat 2,Roosendaal,F.02/26/13
20057595,Casa Holding B.V.,2025-09-06,2026-01-21,137,"64210,70201",2071AH,Molenstraat 13,Santpoort-Noord,F.02/26/9
68942109,RHT Chaletbouw,2025-09-06,2026-01-21,137,"16230,43320",3881NA,Peppelerweg 55,Putten,F.05/26/14
71883657,Scheuermann Beheer B.V.,2025-09-06,2026-01-21,137,"41000,64210",5525BX,Gildestraat 20,Duizel,F.01/26/12
70907595,Action Airco B.V.,2025-09-06,2026-01-21,137,"43222,46642",3194DG,Mandenmakerstraat 106,Hoogvliet Rotterdam,F.10/26/19
54841127,Van Gestel Autoschade Etten-Leur B.V.,2025-09-06,2026-01-21,137,"95311,95314,95315",4854GK,Duivenlaar 7,Bavel,F.02/26/15
87320150,THOM SERVICES B.V.,2025-09-06,2026-01-21,137,"49410,52250",5531MB,Rootven 19,Bladel,F.10/26/21
87791129,Van Gestel Autoschade Eindhoven B.V.,2025-09-06,2026-01-21,137,95315,5628CJ,Vaalserbergweg 16,Eindhoven,F.01/26/15
86125958,VD Transport Groep B.V.,2025-09-06,2026-01-21,137,"49410,52109,52310,78100,82400",,,,F.16/26/25
89791193,MH Zuid Holland B.V.,2025-09-06,2026-01-21,137,01131,2665MH,Groendalseweg 17,Bleiswijk,F.09/26/15
91700612,Piet de Leeuw Muiden B.V.,2025-09-06,2026-01-21,137,55101,1398AD,Herengracht 75,Muiden,F.15/26/19
70845549,Laila Holding B.V.,2025-09-06,2026-01-21,137,64210,1064DH,Th. J. Lammerslaan 57,Amsterdam,F.13/26/15
06053637,Brand & Co. B.V.,2025-09-06,2026-01-21,137,46493,8081HL,Robbertsmatenstraat 13,Elburg,F.08/26/18
89102894,VMGR B.V.,2025-09-06,2026-01-21,137,"62200,70201",5021ST,Jan van Riebeeckstraat 23,Tilburg,F.13/26/17
32099677,Sostark B.V.,2025-09-06,2026-01-21,137,46500,2516AH,Saturnusstraat 60,'s-Gravenhage,F.16/26/22
81545584,Dyma Installatietechniek B.V.,2025-09-06,2026-01-21,137,"33200,43212,43222",5935SJ,Romeinenstraat 120,Steyl,F.10/26/18
82818495,Catuals B.V.,2025-09-06,2026-01-21,137,"20590,46382",3542AR,Sophialaan 5,Utrecht,F.16/26/23
71776540,Wmozorg diensten B.V.,2025-09-06,2026-01-21,137,"64210,78202",1217GL,Naarderweg 16,Hilversum,F.13/26/18
87320150,THOM SERVICES B.V.,2025-09-06,2026-01-22,138,"49410,52250",5531MB,Rootven 19,Bladel,F.01/26/17
84114339,Twenty Solutions B.V.,2025-09-06,2026-01-22,138,"26200,62100",7671EG,Bedrijfsweg 82,Vriezenveen,F.08/26/21
87791129,Van Gestel Autoschade Eindhoven B.V.,2025-09-06,2026-01-22,138,95315,5628CJ,Vaalserbergweg 16,Eindhoven,F.02/26/18
82349487,Blauwolk Investments B.V.,2025-09-06,2026-01-22,138,70102,7671EG,Bedrijfsweg 82,Vriezenveen,F.08/26/22
82356106,Blauwolk B.V.,2025-09-06,2026-01-22,138,"26200,62100,62200,62900",7671EG,Bedrijfsweg 82,Vriezenveen,F.08/26/23
89791193,MH Zuid Holland B.V.,2025-09-06,2026-01-22,138,01131,2665MH,Groendalseweg 17,Bleiswijk,F.10/26/23
89102894,VMGR B.V.,2025-09-06,2026-01-22,138,"62200,70201",5021ST,Jan van Riebeeckstraat 23,Tilburg,F.02/26/17
91700612,Piet de Leeuw Muiden B.V.,2025-09-06,2026-01-22,138,55101,1398AD,Herengracht 75,Muiden,F.16/26/30
86125958,VD Transport Groep B.V.,2025-09-06,2026-01-22,138,"49410,52109,52310,78100,82400",,,,F.05/26/21
83104984,GPSTiger B.V.,2025-09-06,2026-01-22,138,63100,7671EG,Bedrijfsweg 82,Vriezenveen,F.08/26/24
06053637,Brand & Co. B.V.,2025-09-06,2026-01-22,138,46493,8081HL,Robbertsmatenstraat 13,Elburg,F.05/26/20
32099677,Sostark B.V.,2025-09-06,2026-01-23,139,46500,2516AH,Saturnusstraat 60,'s-Gravenhage,F.09/26/16
80746136,Job4Me B.V.,2025-09-06,2026-01-23,139,"47920,52320,68310,79120",2287SH,Ocarinalaan 548,Rijswijk,F.09/26/17
17262911,Torwegge Wielen B.V.,2025-09-06,2026-01-23,139,46720,5161CD,Tinus van der Sijdestraat 7,Sprang-Capelle,F.02/26/19
56156669,Stichting LinQ,2025-09-06,2026-01-23,139,"69209,88991,88992,88999",5751PW,Dukaat 17,Deurne,F.01/26/19
11066251,Stichting De Oase,2025-09-06,2026-01-23,139,87991,8535WH,Straatweg 28,Follega,F.05/26/22
68162197,Dutch Finance Lab B.V.,2025-09-06,2026-01-26,142,"64210,64999,82910",3992AE,Meidoornkade 12,Houten,S.16/26/3
77852184,MBO Holding B.V.,2025-09-06,2026-01-26,142,64210,7491MD,Wijnhuisstraat 1,Delden,F.08/26/26
81385129,MBO Solutions B.V.,2025-09-06,2026-01-26,142,71120,7491MD,Wijnhuisstraat 1,Delden,F.08/26/27
11066251,Stichting De Oase,2025-09-06,2026-01-26,142,87991,8535WH,Straatweg 28,Follega,F.18/26/15
68633696,Impact Factoring II B.V.,2025-09-06,2026-01-27,143,"64210,64999,82910",3992AE,Meidoornkade 12,Houten,F.16/26/35
81545584,Dyma Installatietechniek B.V.,2025-09-06,2026-01-27,143,"33200,43212,43222",5935SJ,Romeinenstraat 120,Steyl,F.03/26/21
68162197,Dutch Finance Lab B.V.,2025-09-06,2026-01-27,143,"64210,64999,82910",3992AE,Meidoornkade 12,Houten,F.16/26/32
68163800,Impact Factoring B.V.,2025-09-06,2026-01-27,143,"64999,66199,66220,82910",3992AE,Meidoornkade 12,Houten,F.16/26/33
90440412,Impact Factoring I B.V.,2025-09-06,2026-01-27,143,"64922,66199,82910",3992AE,Meidoornkade 12,Houten,F.16/26/31
69796947,DFL Finance B.V.,2025-09-06,2026-01-27,143,"64999,82910",3992AE,Meidoornkade 12,Houten,F.16/26/34
14633389,Rubber Resources B.V.,2025-09-06,2026-01-28,144,38210,6200AK,Postbus 437,Maastricht,F.03/26/22
69596468,Etubes B.V.,2025-09-06,2026-01-28,144,24200,5046GL,Goirkestraat 70,Tilburg,F.02/26/21
86559567,Jeroen BoschSchilders B.V.,2025-09-06,2026-01-28,144,"41000,43340",5232AG,Bruistensingel 400,'s-Hertogenbosch,F.13/26/19
82936099,De Streekboer B.V.,2025-09-06,2026-01-28,144,47910,9363VC,Haarsterweg 47,Marum,F.18/26/17
04055774,OSA it specialisten B.V.,2025-09-06,2026-01-28,144,"62100,78202",9405RA,Geminisingel 4,Assen,F.18/26/19
84178418,De Lelie B.V.,2025-09-06,2026-01-28,144,47553,1441DH,Achterdijk 16,Purmerend,F.15/26/25
81829213,Bolworkx B.V.,2025-09-06,2026-01-28,144,"46190,46710,70201,77120,95316",3905NN,Arsenaal 19,Veenendaal,F.16/26/39
89296559,HLT Beheer B.V.,2025-09-06,2026-01-28,144,49410,2523EJ,Aarnout Drostlaan 23,'s-Gravenhage,F.09/26/18
88737454,Collegaa B.V.,2025-09-06,2026-01-28,144,78201,6604LL,Bijsterhuizen 2414,Wijchen,F.05/26/30
64049396,Pasto B.V.,2025-09-06,2026-01-28,144,"56111,56210,56300",2652KV,Westpolderplein 44,Berkel en Rodenrijs,F.10/26/25
93499868,FF Logistic B.V.,2025-09-06,2026-01-28,144,49410,6931EZ,Het Ambacht 10,Westervoort,F.05/26/27
14091878,Boulangerie Bob B.V.,2025-09-06,2026-01-28,144,"46390,47241",6171AC,Mauritsweg 9,Stein,F.03/26/24
33272018,Compensa B.V.,2025-09-06,2026-01-28,144,69102,3732HL,Dorpsstraat vo Steenstraat 128,De Bilt,F.16/26/36
14006472,Bakkerij Dukers B.V.,2025-09-06,2026-01-28,144,10710,6171AC,Mauritsweg 9,Stein,F.03/26/23
72675365,EXCELLENT REINIGING B.V.,2025-09-06,2026-01-28,144,96100,6961CH,Oranje Nassauplein 14,Eerbeek,F.05/26/25
54321921,Toprotect B.V.,2025-09-06,2026-01-28,144,96100,3846BX,Daltonstraat 20,Harderwijk,F.05/26/29
76921182,Entreprice Samazino B.V.,2025-09-06,2026-01-28,144,"56111,56210",6418CC,Heerlerbaan 137,Heerlen,F.03/26/25
64641333,J. Pistoor Handelsonderneming B.V.,2025-09-06,2026-01-28,144,"46831,47521,47523",8243PT,Dokweg 2,Lelystad,F.16/26/41
92427243,E.C. Douze Holding B.V.,2025-09-06,2026-01-28,144,70102,3813BM,Garietstraat 263,Amersfoort,F.16/26/40
40239243,Stichting HypenZo,2025-09-06,2026-01-28,144,"85401,85591,85599",5582CK,Burgemeester Mollaan 34,Waalre,F.01/26/20
24266515,RaMo Beheer B.V.,2025-09-06,2026-01-28,144,64210,2652KD,Simon Carmiggeltstraat 80,Berkel en Rodenrijs,F.10/26/27
74338889,L'Atelier Tailoring Den Bosch B.V.,2025-09-06,2026-01-28,144,"46160,47711",1016VR,Looiersgracht 13,Amsterdam,F.13/26/22
65834267,RiCa Horeca VOF,2025-09-06,2026-01-28,144,56111,2566AE,De Savornin Lohmanplein 37,'s-Gravenhage,F.09/26/19
72674393,EMY HOLDING B.V.,2025-09-06,2026-01-28,144,70102,6961VB,Ruijgenbosweg 32,Eerbeek,F.05/26/24
60162589,Soolutions E-commerce B.V.,2025-09-06,2026-01-28,144,"33200,46499,47544,47789,62100,95220",3543AE,Proostwetering 16,Utrecht,F.16/26/42
87989891,S&E Security B.V.,2025-09-06,2026-01-28,144,"78202,80010",6716AH,Morsestraat 22,Ede,F.05/26/31
57030189,Markt 1 B.V.,2025-09-06,2026-01-28,144,56111,3218AM,Markt 1,Heenvliet,F.10/26/24
08022150,Bronswerk Heat Transfer B.V.,2025-09-06,2026-01-28,144,"25110,28250",3860AB,Postbus 92,Nijkerk,F.05/26/23
08144736,Topcleaning Harderwijk B.V.,2025-09-06,2026-01-28,144,96100,3846CD,Fahrenheitstraat 50,Harderwijk,F.05/26/28
95610103,PosiClean B.V.,2025-09-06,2026-01-28,144,"81210,81221",8938AV,Vestaweg 14,Leeuwarden,F.18/26/21
14084638,Approba Executives B.V.,2025-09-06,2026-01-28,144,"70201,70202,78100,78202",6129EL,Mauritslaan 49,Urmond,F.03/26/26
14067432,Approba Executives Flecs B.V.,2025-09-06,2026-01-28,144,"70201,70202,78100,78202",6129EL,Mauritslaan 49,Urmond,F.03/26/27
74418246,Line-A B.V.,2025-09-06,2026-01-28,144,31000,4251LN,van der Kunstraat 3,Werkendam,F.02/26/20
56242999,MAWI B.V.,2025-09-06,2026-01-28,144,"78202,93193",7576EL,Waterhamskamp 4,Oldenzaal,F.08/26/28
